settlement_point,sp_type,lat,lon
7RNCHSLR_ALL,OTHER,29.806984,-97.07408
A4_DGR1_RN,RN,28.9275,-99.0919
A4_DGR2_RN,RN,28.9275,-99.0919
ABINDUST_RN,RN,32.5079,-99.7772
ADL_RN,RN,30.009659,-95.040827
AEEC,OTHER,33.865,-101.843333
AE_RN,RN,29.167065,-95.440647
AGUAYO_UNIT1,OTHER,31.39376,-98.35936
AJAXWIND_RN,RN,33.85245,-99.06509
ALAMO_ST_RN,RN,30.902,-102.8732
ALGOD_ALL_RN,RN,27.992706,-97.743983
ALP_BESS_RN,RN,32.7171,-101.9378
ALVIN_RN,RN,29.433245,-95.249367
AMADEUS_ALL,OTHER,32.96736,-100.56428
AMAD_ESS_RN,RN,32.4793,-96.0321
AMISTAD_ALL,OTHER,29.449827,-101.06011
AMOCOOIL_CC1,PCCRN,29.378164,-94.92195
AMOCOOIL_CC2,PCCRN,29.378164,-94.92195
AMOCO_PUN1,PUN,0,0
AMOCO_PUN2,PUN,0,0
AMO_AMOCO_1,OTHER,29.71977,-95.270562
AMO_AMOCO_2,OTHER,29.71977,-95.270562
AMO_AMOCO_5,OTHER,29.71977,-95.270562
AMO_AMOCO_G1,OTHER,29.71977,-95.270562
AMO_AMOCO_G2,OTHER,29.71977,-95.270562
AMO_AMOCO_G3,OTHER,29.71977,-95.270562
AMO_AMOCO_S1,OTHER,29.71977,-95.270562
AMO_AMOCO_S2,OTHER,29.71977,-95.270562
ANACACHO_ANA,OTHER,29.234722,-100.209167
ANCHOR_ALL,OTHER,32.308524,-99.164198
ANDMDSLR_ALL,OTHER,32.883528,-100.746389
ANEM_ESS_RN,RN,26.45,-98.48
ANG_ALL,OTHER,31.51,-100.58
ANOL_ESS_RN,RN,32.552083,-96.539931
ANSON1_ALL,OTHER,32.811041,-99.91749
ANTL_ESS_ES1,OTHER,29.806021,-100.804452
APPALOSA_ALL,OTHER,31.157269,-101.831603
APPLE_ESR_RN,RN,31.6757,-102.3638
AQLA_WND_RN,RN,31.77471,-96.828196
AQUI_ALL,OTHER,31.77471,-96.828196
ARAGORN_RN,RN,31.719983,-104.442292
ARY_BESS_RN,RN,26.1517,-97.6669
ASCK_SLR_RN,RN,31.900806,-97.033734
ASTRA_RN,RN,34.769544,-102.052422
ATK_ATKINSG7,OTHER,30.64741,-96.372316
AURO_SLR_RN,RN,30.996511,-97.001505
AUSTPL_ALL,OTHER,30.293424,-97.784408
AVIAT_ALL,OTHER,31.79261,-100.69729
AVIL_ESS_RN,RN,30.904629,-102.915916
AZSP_SLR_RN,RN,31.403914,-94.871897
AZURE_RN,RN,33.021601,-99.61463
AZ_ALL,OTHER,29.7028,-95.0718
BAC_RN_ALL,OTHER,29.49233,-94.98483
BAFFIN_ALL,OTHER,27.184652,-97.59818
BAIRDWND_ALL,OTHER,32.28938,-99.291596
BAKE_RN_ALL,OTHER,33.39167,-95.42519
BARROW_ALL,OTHER,32.386,-102.949
BART_SLR_RN,RN,32.9157,-95.8119
BASTEN_CC1,PCCRN,30.1458,-97.55
BASTEN_CCU,OTHER,30.1458,-97.55
BATCAVE_RN,RN,30.737745,-99.231778
BAYC_BESS_RN,RN,28.987572,-95.969842
BBREEZE_1_2,OTHER,26.522222,-97.691111
BCATWD_WD_1,OTHER,33.493056,-98.581944
BCH_RN,RN,29.227109,-95.430756
BCK_RN,RN,29.33355,-95.82544
BCNV2_ES_RN,RN,29.435422,-95.251104
BCNV_RN,RN,29.435422,-95.251104
BELM_SLR_RN,RN,31.141051,-97.216976
BEXAR_ES_RN,RN,29.4241,-98.4936
BIGSAMWD_RN,RN,30.9819,-101.8505
BIGSTAR_ALL,OTHER,29.894053,-97.270537
BIRD_ESR1,OTHER,28.1579,-97.8621
BKSL_RN,RN,33.781511,-100.877503
BLACKJAK_RN,RN,28.2078,-97.522673
BLACKSPR_RN,RN,32.8444,-98.4239
BLSMT1_5_A_6,OTHER,34.292913,-99.367734
BLUEJAY_RN,RN,30.7115,-96.0641
BLVN_RN,RN,31.2592,-97.1895
BOARDCRK_ALL,OTHER,31.85346,-96.624458
BOCO_ESS_RN,RN,32.72233,-101.638499
BOOTLEG_UN1,OTHER,31.000883,-102.281744
BORDAS_345,OTHER,27.32,-99
BOSQUESW_CC1,PCCRN,31.8594,-97.3586
BOSQUESW_CC2,PCCRN,31.8594,-97.3586
BOSQ_BSQSU_5,OTHER,31.8594,-97.3586
BOSQ_BSQS_12,OTHER,31.8594,-97.3586
BOSQ_BSQS_34,OTHER,31.8594,-97.3586
BRANDON_RN,RN,33.585257,-101.886093
BRAUNIG_CC1,PCCRN,29.2567,-98.3825
BRAUNIG_VHB1,OTHER,29.2567,-98.3825
BRAUNIG_VHB2,OTHER,29.2567,-98.3825
BRAUNIG_VHB3,OTHER,29.2567,-98.3825
BRAZ_WND_ALL,OTHER,32.94793,-101.147784
BRA_AVR1_CT2,OTHER,29.257046,-98.384045
BRA_AVR_CST1,OTHER,29.257046,-98.384045
BRHEIGHT_RN,RN,29.389595,-94.949867
BRIGHTSD_U1,OTHER,28.430988,-97.889555
BRISCOE_WIND,OTHER,34.432267,-101.237233
BRPANGLE_RN,RN,29.16801,-95.445062
BRPMAGNO_RN,RN,29.488335,-95.133947
BRP_BRAZ_RN,RN,29.062635,-95.577587
BRP_DIKN_RN,RN,29.461255,-95.056987
BRP_LOOP_RN,RN,28.8953,-97.0425
BRP_LOP1_RN,RN,26.687614,-99.109418
BRP_PBL1_RN,RN,28.678935,-100.463708
BRP_PBL2_RN,RN,28.678935,-100.463708
BRP_RN_UNIT1,OTHER,29.781,-100.8156
BRP_SWNY_RN,RN,29.055615,-95.687237
BRP_ZPT1_RN,RN,26.932675,-99.233708
BRP_ZPT2_RN,RN,26.932675,-99.233708
BRTSW_BCW1,OTHER,33.052226,-98.328415
