  e = pd.read_sql(
Per-zone structural correlation (model vs ERCOT):
  houston          n=20  rho=+0.74  p=0.000
  north            n=20  rho=+0.63  p=0.003
  south            n=20  rho=+0.62  p=0.003
  west             n=20  rho=-0.01  p=0.965

rho>0 = same movement structure. Levels not expected to match.

Per-hour LMP (model vs ERCOT, $/MWh):
           ts         regime    zone  model_lmp  ercot_lmp
2025-07-30 21    summer_peak houston      120.2       29.2
2025-07-30 21    summer_peak   north      790.9       28.4
2025-07-30 21    summer_peak   south       88.3       25.1
2025-07-30 21    summer_peak    west      528.0       27.6
2025-08-25 21    summer_peak houston       66.7       30.3
2025-08-25 21    summer_peak   north      323.9       26.9
2025-08-25 21    summer_peak   south       76.5       33.9
2025-08-25 21    summer_peak    west     1062.7       28.7
2025-08-19 19    summer_peak houston      193.2       53.1
2025-08-19 19    summer_peak   north     1262.9       55.7
2025-08-19 19    summer_peak   south      255.5       53.2
2025-08-19 19    summer_peak    west     1334.4       65.7
2025-07-24 21    summer_peak houston       54.5       35.7
2025-07-24 21    summer_peak   north      333.8       23.0
2025-07-24 21    summer_peak   south       56.9       44.3
2025-07-24 21    summer_peak    west      560.4       24.2
2025-07-29 20    summer_peak houston       91.5       36.6
2025-07-29 20    summer_peak   north      599.9       23.1
2025-07-29 20    summer_peak   south       41.8       20.8
2025-07-29 20    summer_peak    west      438.0        6.9
2026-04-03 13 high_wind_west houston        0.3       18.6
2026-04-03 13 high_wind_west   north       -0.4       18.2
2026-04-03 13 high_wind_west   south        0.3       18.6
2026-04-03 13 high_wind_west    west      501.3        6.3
2025-01-18 01 high_wind_west houston       29.3       22.5
2025-01-18 01 high_wind_west   north       19.6       21.7
2025-01-18 01 high_wind_west   south       31.5       23.1
2025-01-18 01 high_wind_west    west     1848.3       13.8
2025-03-14 12 high_wind_west houston       28.3       27.3
2025-03-14 12 high_wind_west   north       22.8       17.1
2025-03-14 12 high_wind_west   south       30.0       26.9
2025-03-14 12 high_wind_west    west     1793.1        0.8
2026-03-16 06 high_wind_west houston       28.2       18.1
2026-03-16 06 high_wind_west   north       22.7       13.0
2026-03-16 06 high_wind_west   south       29.8       18.6
2026-03-16 06 high_wind_west    west     1741.2        6.1
2026-03-21 06 high_wind_west houston       28.3       20.7
2026-03-21 06 high_wind_west   north       22.6       14.6
2026-03-21 06 high_wind_west   south       30.0       20.8
2026-03-21 06 high_wind_west    west     1719.7        9.6
2025-03-02 10  mild_shoulder houston       27.0       21.0
2025-03-02 10  mild_shoulder   north       16.2       18.7
2025-03-02 10  mild_shoulder   south       31.0       23.1
2025-03-02 10  mild_shoulder    west     1900.4       11.6
2025-03-22 08  mild_shoulder houston       28.0       20.7
2025-03-22 08  mild_shoulder   north       16.1       18.9
2025-03-22 08  mild_shoulder   south       31.9       22.0
2025-03-22 08  mild_shoulder    west     1897.8       21.9
2026-04-20 08  mild_shoulder houston       32.6       21.7
2026-04-20 08  mild_shoulder   north       15.8       17.0
2026-04-20 08  mild_shoulder   south       39.4       27.7
2026-04-20 08  mild_shoulder    west     1109.6       38.1
2025-03-03 08  mild_shoulder houston       27.5       25.0
2025-03-03 08  mild_shoulder   north       13.6       22.0
2025-03-03 08  mild_shoulder   south       33.1       27.7
2025-03-03 08  mild_shoulder    west     1213.5       23.8
2025-03-20 08  mild_shoulder houston       28.2       26.9
2025-03-20 08  mild_shoulder   north       19.3       29.6
2025-03-20 08  mild_shoulder   south       31.2       21.5
2025-03-20 08  mild_shoulder    west     1817.7       42.3
2025-01-20 15    winter_peak houston      146.9       54.6
2025-01-20 15    winter_peak   north      108.7       51.9
2025-01-20 15    winter_peak   south       36.6       55.4
2025-01-20 15    winter_peak    west      548.6       46.1
2025-01-07 13    winter_peak houston      148.0       41.3
2025-01-07 13    winter_peak   north      274.8       43.0
2025-01-07 13    winter_peak   south      129.3       39.6
2025-01-07 13    winter_peak    west     1911.3       43.8
2025-01-10 00    winter_peak houston      148.8       38.4
2025-01-10 00    winter_peak   north      152.2       39.9
2025-01-10 00    winter_peak   south      145.8       36.3
2025-01-10 00    winter_peak    west     1606.8       50.3
2025-01-06 14    winter_peak houston       68.2       21.2
2025-01-06 14    winter_peak   north      117.4       24.4
2025-01-06 14    winter_peak   south       37.9       17.0
2025-01-06 14    winter_peak    west     1851.5       26.4
2025-01-19 15    winter_peak houston       37.1       14.8
2025-01-19 15    winter_peak   north       29.4       19.1
2025-01-19 15    winter_peak   south       34.2       10.8
2025-01-19 15    winter_peak    west     1215.4       20.5

