DeliveryDate,HourEnding,ConstraintID,ConstraintName,ContingencyName,ConstraintLimit,ConstraintValue,ViolationAmount,ShadowPrice,FromStation,ToStation,FromStationkV,ToStationkV,DeliveryTime,DSTFlag
07/23/2025,01:00,10, 6345__L, DMOSME25,213,213,0,54.812, SNDHT, WLFSW,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,9, LPLMK_LPLNE_1, SBWDDBM5,218,218,0,8.985, LPLMK, LPLNE,115,115, 07/23/2025 00:00:00,N
07/23/2025,01:00,12, 15060__B, SW_LVLT5,410,410,0,201.303, VEALMOOR, KOCHTAP,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,13, 6056__A, DBAKCED5,1226,1226,0,13.964, LNGSW, CONSW,345,345, 07/23/2025 00:00:00,N
07/23/2025,01:00,14, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,112.47, TWINBU, HARGROVE,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,15, FREER_LOBO1_1, MLOFOAV5,39,39,0,34.864, LOBO, FREER,69,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,16, DEL_MA_LAREDO1_1, MFOAVLO5,262,262,0,26.138, LAREDO, DEL_MAR,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,17, BRUNI_69_1, MFOAVLO5,37,37,0,165.769, BRUNI, BRUNI,138,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,18, MAGRUD_VICTOR2_1,  BASE CASE,211,211,0,1.092, VICTORIA, MAGRUDER,138.10001,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,19, LENSW_PUTN2_1,  BASE CASE,72,72,0,1.94, LENSW, PUTN,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,20, RANDAD_ZAPATA1_1,  BASE CASE,77,77,0,0.006, RANDADO, ZAPATA,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,21, HOEFSROA_T1_O,  BASE CASE,9,9,0,0.017, HOEFSROA, HOEFSROA,69,12.5, 07/23/2025 00:00:00,N
07/23/2025,01:00,22, SILASRAY_T1, XSI2L89,67,67,0,0.007, SILASRAY, SILASRAY,69,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,23, LOYOLA_69_1, SKLELOY8,40,40,0,10.844, LOYOLA, LOYOLA,138,69, 07/23/2025 00:00:00,N
