interval_ct,settlement_point,lmp,system_lambda,congestion
2025-07-23 01:00:00,7RNCHSLR_ALL,27.45,26.0907,1.3593
2025-07-23 01:00:00,A4_DGR1_RN,28.46,26.0907,2.3693
2025-07-23 01:00:00,A4_DGR2_RN,28.46,26.0907,2.3693
2025-07-23 01:00:00,ABINDUST_RN,28.34,26.0907,2.2493
2025-07-23 01:00:00,ADL_RN,26.79,26.0907,0.6993
2025-07-23 01:00:00,AEEC,20.4,26.0907,-5.6907
2025-07-23 01:00:00,AE_RN,26.89,26.0907,0.7993
2025-07-23 01:00:00,AGUAYO_UNIT1,27.15,26.0907,1.0593
2025-07-23 01:00:00,AJAXWIND_RN,25,26.0907,-1.0907
2025-07-23 01:00:00,ALGOD_ALL_RN,25.88,26.0907,-0.2107
2025-07-23 01:00:00,ALP_BESS_RN,84.14,26.0907,58.0493
2025-07-23 01:00:00,ALVIN_RN,26.86,26.0907,0.7693
2025-07-23 01:00:00,AMADEUS_ALL,22.76,26.0907,-3.3307
2025-07-23 01:00:00,AMISTAD_ALL,42.81,26.0907,16.7193
2025-07-23 01:00:00,AMOCOOIL_CC1,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMOCOOIL_CC2,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMOCO_PUN1,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMOCO_PUN2,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_1,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_2,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_5,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_G1,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_G2,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_G3,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_S1,26.84,26.0907,0.7493
2025-07-23 01:00:00,AMO_AMOCO_S2,26.84,26.0907,0.7493
2025-07-23 01:00:00,ANACACHO_ANA,37.98,26.0907,11.8893
2025-07-23 01:00:00,ANCHOR_ALL,25.25,26.0907,-0.8407
2025-07-23 01:00:00,ANDMDSLR_ALL,22.49,26.0907,-3.6007
2025-07-23 01:00:00,ANEM_ESS_RN,20.72,26.0907,-5.3707
2025-07-23 01:00:00,ANG_ALL,27.21,26.0907,1.1193
2025-07-23 01:00:00,ANOL_ESS_RN,26.11,26.0907,0.0193
2025-07-23 01:00:00,ANSON1_ALL,24.67,26.0907,-1.4207
2025-07-23 01:00:00,ANTL_ESS_ES1,45.11,26.0907,19.0193
2025-07-23 01:00:00,APPALOSA_ALL,67.79,26.0907,41.6993
2025-07-23 01:00:00,AQUI_ALL,26.2,26.0907,0.1093
2025-07-23 01:00:00,ARAGORN_RN,53.21,26.0907,27.1193
2025-07-23 01:00:00,ARY_BESS_RN,22.64,26.0907,-3.4507
2025-07-23 01:00:00,ASCK_SLR_RN,26.2,26.0907,0.1093
2025-07-23 01:00:00,ASTRA_RN,22.27,26.0907,-3.8207
2025-07-23 01:00:00,ATK_ATKINSG7,26.64,26.0907,0.5493
2025-07-23 01:00:00,AURO_SLR_RN,26.81,26.0907,0.7193
2025-07-23 01:00:00,AUSTPL_ALL,27.53,26.0907,1.4393
2025-07-23 01:00:00,AVIAT_ALL,27.83,26.0907,1.7393
2025-07-23 01:00:00,AVIL_ESS_RN,50.89,26.0907,24.7993
2025-07-23 01:00:00,AZSP_SLR_RN,26.2,26.0907,0.1093
2025-07-23 01:00:00,AZURE_RN,24.21,26.0907,-1.8807
2025-07-23 01:00:00,AZ_ALL,26.8,26.0907,0.7093
2025-07-23 01:00:00,BAC_RN_ALL,26.84,26.0907,0.7493
2025-07-23 01:00:00,BAFFIN_ALL,22.63,26.0907,-3.4607
2025-07-23 01:00:00,BAIRDWND_ALL,24.9,26.0907,-1.1907
2025-07-23 01:00:00,BAKE_RN_ALL,25.97,26.0907,-0.1207
2025-07-23 01:00:00,BARROW_ALL,48.97,26.0907,22.8793
2025-07-23 01:00:00,BASTEN_CC1,27.51,26.0907,1.4193
2025-07-23 01:00:00,BASTEN_CCU,27.51,26.0907,1.4193
2025-07-23 01:00:00,BATCAVE_RN,28.41,26.0907,2.3193
2025-07-23 01:00:00,BAYC_BESS_RN,27,26.0907,0.9093
2025-07-23 01:00:00,BBREEZE_1_2,21.15,26.0907,-4.9407
2025-07-23 01:00:00,BCATWD_WD_1,25.73,26.0907,-0.3607
2025-07-23 01:00:00,BCH_RN,26.89,26.0907,0.7993
2025-07-23 01:00:00,BCK_RN,26.9,26.0907,0.8093
2025-07-23 01:00:00,BCNV_RN,26.86,26.0907,0.7693
2025-07-23 01:00:00,BELM_SLR_RN,26.81,26.0907,0.7193
2025-07-23 01:00:00,BEXAR_ES_RN,28.42,26.0907,2.3293
2025-07-23 01:00:00,BIGSAMWD_RN,34.65,26.0907,8.5593
2025-07-23 01:00:00,BIGSTAR_ALL,27.51,26.0907,1.4193
2025-07-23 01:00:00,BKSL_RN,22.58,26.0907,-3.5107
2025-07-23 01:00:00,BLACKJAK_RN,25.94,26.0907,-0.1507
2025-07-23 01:00:00,BLACKSPR_RN,26.17,26.0907,0.0793
2025-07-23 01:00:00,BLSMT1_5_A_6,24.28,26.0907,-1.8107
2025-07-23 01:00:00,BLUEJAY_RN,26.62,26.0907,0.5293
2025-07-23 01:00:00,BLVN_RN,26.75,26.0907,0.6593
2025-07-23 01:00:00,BOARDCRK_ALL,26.2,26.0907,0.1093
2025-07-23 01:00:00,BOCO_ESS_RN,15.24,26.0907,-10.8507
2025-07-23 01:00:00,BOOTLEG_UN1,46.98,26.0907,20.8893
2025-07-23 01:00:00,BORDAS_345,17.33,26.0907,-8.7607
2025-07-23 01:00:00,BOSQUESW_CC1,26.47,26.0907,0.3793
2025-07-23 01:00:00,BOSQUESW_CC2,26.49,26.0907,0.3993
2025-07-23 01:00:00,BOSQ_BSQSU_5,26.49,26.0907,0.3993
2025-07-23 01:00:00,BOSQ_BSQS_12,26.49,26.0907,0.3993
2025-07-23 01:00:00,BOSQ_BSQS_34,26.47,26.0907,0.3793
2025-07-23 01:00:00,BRANDON_RN,19.62,26.0907,-6.4707
2025-07-23 01:00:00,BRAUNIG_CC1,28.25,26.0907,2.1593
2025-07-23 01:00:00,BRAUNIG_VHB1,28.31,26.0907,2.2193
2025-07-23 01:00:00,BRAUNIG_VHB2,28.31,26.0907,2.2193
2025-07-23 01:00:00,BRAUNIG_VHB3,28.33,26.0907,2.2393
2025-07-23 01:00:00,BRAZ_WND_ALL,27.21,26.0907,1.1193
2025-07-23 01:00:00,BRA_AVR1_CT2,28.25,26.0907,2.1593
2025-07-23 01:00:00,BRA_AVR_CST1,28.25,26.0907,2.1593
2025-07-23 01:00:00,BRHEIGHT_RN,26.84,26.0907,0.7493
2025-07-23 01:00:00,BRIGHTSD_U1,28.29,26.0907,2.1993
2025-07-23 01:00:00,BRISCOE_WIND,22.64,26.0907,-3.4507
2025-07-23 01:00:00,BRPANGLE_RN,26.9,26.0907,0.8093
2025-07-23 01:00:00,BRPMAGNO_RN,26.85,26.0907,0.7593
2025-07-23 01:00:00,BRP_BRAZ_RN,26.9,26.0907,0.8093
2025-07-23 01:00:00,BRP_DIKN_RN,26.84,26.0907,0.7493
2025-07-23 01:00:00,BRP_LOOP_RN,26.97,26.0907,0.8793
2025-07-23 01:00:00,BRP_LOP1_RN,23.08,26.0907,-3.0107
2025-07-23 01:00:00,BRP_PBL1_RN,39.61,26.0907,13.5193
2025-07-23 01:00:00,BRP_PBL2_RN,39.61,26.0907,13.5193
2025-07-23 01:00:00,BRP_RN_UNIT1,28.46,26.0907,2.3693
2025-07-23 01:00:00,BRP_SWNY_RN,26.9,26.0907,0.8093
2025-07-23 01:00:00,BRP_ZPT1_RN,23.82,26.0907,-2.2707
2025-07-23 01:00:00,BRP_ZPT2_RN,23.82,26.0907,-2.2707
2025-07-23 01:00:00,BRTSW_BCW1,26.2,26.0907,0.1093
2025-07-23 01:00:00,BR_ARROW_ALL,25.99,26.0907,-0.1007
2025-07-23 01:00:00,BR_VHB6CT5_6,28.31,26.0907,2.2193
2025-07-23 01:00:00,BR_VHB6CT7_8,28.31,26.0907,2.2193
2025-07-23 01:00:00,BSS_U1,26.9,26.0907,0.8093
2025-07-23 01:00:00,BTE_BTE_G1,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_BTE_G2,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_BTE_G3,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_BTE_G4,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_CC1,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_PUN1,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTE_PUN2,26.8,26.0907,0.7093
2025-07-23 01:00:00,BTM_ALL,26.88,26.0907,0.7893
2025-07-23 01:00:00,BUCHAN_ALL,27.73,26.0907,1.6393
2025-07-23 01:00:00,BUCKTHRN_RN,26.41,26.0907,0.3193
2025-07-23 01:00:00,BUFF_GAP_ALL,27.52,26.0907,1.4293
2025-07-23 01:00:00,BULLCRK_1_2,26.72,26.0907,0.6293
2025-07-23 01:00:00,BVE_CC1,26.86,26.0907,0.7693
2025-07-23 01:00:00,BVE_UNIT1,26.86,26.0907,0.7693
2025-07-23 01:00:00,BVE_UNIT2,26.86,26.0907,0.7693
2025-07-23 01:00:00,BVE_UNIT3,26.86,26.0907,0.7693
2025-07-23 01:00:00,BYRDR_ES_ALL,26.9,26.0907,0.8093
2025-07-23 01:00:00,BYU_BYU_1,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_BYU_12,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_BYU_34,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_CC1,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_G4_RN,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_PUN1,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_PUN2,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_PUN3,26.82,26.0907,0.7293
2025-07-23 01:00:00,BYU_PUN4,26.82,26.0907,0.7293
2025-07-23 01:00:00,B_DAVIS_3,25.33,26.0907,-0.7607
2025-07-23 01:00:00,B_DAVIS_4,25.33,26.0907,-0.7607
2025-07-23 01:00:00,B_DAVIS_CC1,25.33,26.0907,-0.7607
2025-07-23 01:00:00,B_D_B_DAVIG1,25.33,26.0907,-0.7607
2025-07-23 01:00:00,B_D_B_DAVIG2,25.33,26.0907,-0.7607
2025-07-23 01:00:00,CABEZON_ALL,19.21,26.0907,-6.8807
2025-07-23 01:00:00,CACH_ESS_RN,27.95,26.0907,1.8593
2025-07-23 01:00:00,CALAVER_JKS1,28.16,26.0907,2.0693
2025-07-23 01:00:00,CALAVER_JKS2,28.16,26.0907,2.0693
2025-07-23 01:00:00,CALAVER_JTD1,28.32,26.0907,2.2293
2025-07-23 01:00:00,CALAVER_JTD2,28.32,26.0907,2.2293
2025-07-23 01:00:00,CALAVER_OWS1,28.32,26.0907,2.2293
2025-07-23 01:00:00,CALAVER_OWS2,28.32,26.0907,2.2293
2025-07-23 01:00:00,CALHOUN_ALL,26.86,26.0907,0.7693
2025-07-23 01:00:00,CALLAHA_WND1,28.66,26.0907,2.5693
2025-07-23 01:00:00,CAL_CALGT1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CAL_CALSTG1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CAL_CC1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CAL_PUN1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CAL_PUN2,26.8,26.0907,0.7093
2025-07-23 01:00:00,CAMWIND_RN,22.47,26.0907,-3.6207
2025-07-23 01:00:00,CANYONWD_ALL,24.63,26.0907,-1.4607
2025-07-23 01:00:00,CAPRIDG4_CR4,27.83,26.0907,1.7393
2025-07-23 01:00:00,CAPRIDGE_ALL,27.83,26.0907,1.7393
2025-07-23 01:00:00,CARBN_BSP_1,51.26,26.0907,25.1693
2025-07-23 01:00:00,CARN_ESS_RN,25.46,26.0907,-0.6307
2025-07-23 01:00:00,CARRIZO_ESR1,37.25,26.0907,11.1593
2025-07-23 01:00:00,CARTWHL_RN,26,26.0907,-0.0907
2025-07-23 01:00:00,CASL_GAP_UN1,48.33,26.0907,22.2393
2025-07-23 01:00:00,CATARINA_B1,42.9,26.0907,16.8093
2025-07-23 01:00:00,CBECII_89,26.94,26.0907,0.8493
2025-07-23 01:00:00,CBECII_CC3,26.94,26.0907,0.8493
2025-07-23 01:00:00,CBECII_CT7,26.94,26.0907,0.8493
2025-07-23 01:00:00,CBEC_ALL,26.95,26.0907,0.8593
2025-07-23 01:00:00,CBEC_CC1,26.95,26.0907,0.8593
2025-07-23 01:00:00,CBEC_CC2,26.95,26.0907,0.8593
2025-07-23 01:00:00,CBY4_ALL,26.8,26.0907,0.7093
2025-07-23 01:00:00,CBY4_CC1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CBY_CBY_G1,26.8,26.0907,0.7093
2025-07-23 01:00:00,CBY_CBY_G2,26.8,26.0907,0.7093
2025-07-23 01:00:00,CCEC_CC1,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CCEC_GT1,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CCEC_GT2,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CCEC_PUN1,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CCEC_PUN2,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CCEC_ST1,25.45,26.0907,-0.6407
2025-07-23 01:00:00,CEDROHI_CHW1,14.36,26.0907,-11.7307
2025-07-23 01:00:00,CEDRVALE_RN,52.76,26.0907,26.6693
2025-07-23 01:00:00,CFLATS_UNIT,28.87,26.0907,2.7793
2025-07-23 01:00:00,CHALUP_ALL,22.53,26.0907,-3.5607
2025-07-23 01:00:00,CHAL_SLR_RN,53.34,26.0907,27.2493
2025-07-23 01:00:00,CHAMON_UN1,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHAMON_UN2,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHEDPW_GT2,26.78,26.0907,0.6893
2025-07-23 01:00:00,CHE_CC1,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHE_LYD,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHE_LYD2,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHE_PUN1,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHE_PUN2,26.79,26.0907,0.6993
2025-07-23 01:00:00,CHIL_SLR,26.9,26.0907,0.8093
2025-07-23 01:00:00,CHISMGRD_RN,25.91,26.0907,-0.1807
2025-07-23 01:00:00,CISC_RN,27.39,26.0907,1.2993
2025-07-23 01:00:00,CITRUSCY_RN,22.08,26.0907,-4.0107
2025-07-23 01:00:00,CITYVICT_ALL,26.89,26.0907,0.7993
2025-07-23 01:00:00,CLO_RN,26.83,26.0907,0.7393
2025-07-23 01:00:00,CMPD_SLR_RN,26.14,26.0907,0.0493
2025-07-23 01:00:00,CNLY_ESS_RN,25.91,26.0907,-0.1807
2025-07-23 01:00:00,CNTRY_RN,26.07,26.0907,-0.0207
2025-07-23 01:00:00,CNTYRDS_RN,52.97,26.0907,26.8793
2025-07-23 01:00:00,CN_BRKS_UNT1,22.39,26.0907,-3.7007
2025-07-23 01:00:00,COL_COLETOG1,26.93,26.0907,0.8393
2025-07-23 01:00:00,CONIGLIO_RN,25.98,26.0907,-0.1107
2025-07-23 01:00:00,CONTINEN_RN,22.76,26.0907,-3.3307
2025-07-23 01:00:00,CORALSLR_ALL,26.54,26.0907,0.4493
2025-07-23 01:00:00,CORAZON_RN,16.45,26.0907,-9.6407
2025-07-23 01:00:00,COTPLNS_RN,22.3,26.0907,-3.7907
2025-07-23 01:00:00,COTTON_PAP2,25.67,26.0907,-0.4207
2025-07-23 01:00:00,COTULLA_RN,37.7,26.0907,11.6093
2025-07-23 01:00:00,COYOTSPR_AGR,52.92,26.0907,26.8293
