scenario,ts,regime,zone,model_lmp,ercot_lmp
shed_only,2025-01-02 01,sample,houston,29.5,84.4
shed_only,2025-01-02 01,sample,north,26.4,86.4
shed_only,2025-01-02 01,sample,south,36.4,82.7
shed_only,2025-01-02 01,sample,west,1138.0,88.9
shed_only,2025-01-04 20,sample,houston,27.0,-16.2
shed_only,2025-01-04 20,sample,north,14.0,-16.1
shed_only,2025-01-04 20,sample,south,30.1,-16.8
shed_only,2025-01-04 20,sample,west,1954.4,-12.6
shed_only,2025-01-05 00,sample,houston,27.4,2.8
shed_only,2025-01-05 00,sample,north,17.1,3.0
shed_only,2025-01-05 00,sample,south,31.3,1.9
shed_only,2025-01-05 00,sample,west,1871.7,5.4
shed_only,2025-01-08 15,sample,houston,41.9,31.5
shed_only,2025-01-08 15,sample,north,32.7,32.5
shed_only,2025-01-08 15,sample,south,35.3,28.5
shed_only,2025-01-08 15,sample,west,1853.2,33.3
shed_only,2025-01-18 13,sample,houston,30.7,25.4
shed_only,2025-01-18 13,sample,north,20.0,24.5
shed_only,2025-01-18 13,sample,south,31.8,26.3
shed_only,2025-01-18 13,sample,west,1845.3,26.3
shed_only,2025-01-21 06,sample,houston,67.7,32.6
shed_only,2025-01-21 06,sample,north,37.1,33.5
shed_only,2025-01-21 06,sample,south,43.0,30.1
shed_only,2025-01-21 06,sample,west,1815.8,33.7
shed_only,2025-01-22 20,sample,houston,30.3,-0.7
shed_only,2025-01-22 20,sample,north,21.4,-0.7
shed_only,2025-01-22 20,sample,south,31.7,-0.7
shed_only,2025-01-22 20,sample,west,905.1,-0.7
shed_only,2025-01-26 13,sample,houston,29.7,26.5
shed_only,2025-01-26 13,sample,north,25.1,25.7
shed_only,2025-01-26 13,sample,south,30.0,27.4
shed_only,2025-01-26 13,sample,west,1803.5,26.3
shed_only,2025-01-30 13,sample,houston,30.1,24.5
shed_only,2025-01-30 13,sample,north,13.1,23.7
shed_only,2025-01-30 13,sample,south,31.3,25.3
shed_only,2025-01-30 13,sample,west,2020.4,22.4
shed_only,2025-02-01 07,sample,houston,30.5,28.2
shed_only,2025-02-01 07,sample,north,20.5,23.8
shed_only,2025-02-01 07,sample,south,35.0,32.6
shed_only,2025-02-01 07,sample,west,1125.8,45.8
shed_only,2025-02-05 00,sample,houston,30.4,83.9
shed_only,2025-02-05 00,sample,north,18.8,83.9
shed_only,2025-02-05 00,sample,south,32.7,83.9
shed_only,2025-02-05 00,sample,west,1245.5,83.9
shed_only,2025-02-06 20,sample,houston,28.6,18.5
shed_only,2025-02-06 20,sample,north,21.1,18.6
shed_only,2025-02-06 20,sample,south,31.5,18.4
shed_only,2025-02-06 20,sample,west,1131.4,19.1
shed_only,2025-02-09 06,sample,houston,28.0,20.5
shed_only,2025-02-09 06,sample,north,17.6,20.5
shed_only,2025-02-09 06,sample,south,31.7,20.5
shed_only,2025-02-09 06,sample,west,1889.0,20.5
shed_only,2025-02-14 19,sample,houston,27.9,20.3
shed_only,2025-02-14 19,sample,north,19.1,19.6
shed_only,2025-02-14 19,sample,south,31.3,20.8
shed_only,2025-02-14 19,sample,west,1177.5,-0.2
shed_only,2025-02-15 13,sample,houston,30.2,29.2
shed_only,2025-02-15 13,sample,north,20.3,29.1
shed_only,2025-02-15 13,sample,south,31.6,26.7
shed_only,2025-02-15 13,sample,west,1805.2,29.1
shed_only,2025-02-23 06,sample,houston,35.7,37.3
shed_only,2025-02-23 06,sample,north,27.3,38.6
shed_only,2025-02-23 06,sample,south,42.2,37.6
shed_only,2025-02-23 06,sample,west,1794.4,43.6
shed_only,2025-02-26 15,sample,houston,26.0,0.2
shed_only,2025-02-26 15,sample,north,13.0,-0.8
shed_only,2025-02-26 15,sample,south,31.2,-1.3
shed_only,2025-02-26 15,sample,west,1164.2,-1.1
shed_only,2025-03-03 06,sample,houston,27.9,29.9
shed_only,2025-03-03 06,sample,north,17.1,26.6
shed_only,2025-03-03 06,sample,south,32.2,31.3
shed_only,2025-03-03 06,sample,west,1270.2,36.0
shed_only,2025-03-04 13,sample,houston,27.8,27.4
shed_only,2025-03-04 13,sample,north,16.5,19.1
shed_only,2025-03-04 13,sample,south,32.0,31.1
shed_only,2025-03-04 13,sample,west,1884.2,-2.8
shed_only,2025-03-10 09,sample,houston,38.1,35.3
shed_only,2025-03-10 09,sample,north,26.8,28.0
shed_only,2025-03-10 09,sample,south,45.3,40.9
shed_only,2025-03-10 09,sample,west,1063.0,50.5
shed_only,2025-03-12 21,sample,houston,27.9,35.4
shed_only,2025-03-12 21,sample,north,17.8,26.6
shed_only,2025-03-12 21,sample,south,31.9,17.4
shed_only,2025-03-12 21,sample,west,1257.4,-8.4
shed_only,2025-03-13 15,sample,houston,28.3,28.0
shed_only,2025-03-13 15,sample,north,14.3,27.1
shed_only,2025-03-13 15,sample,south,33.3,26.4
shed_only,2025-03-13 15,sample,west,1159.8,26.9
shed_only,2025-03-15 06,sample,houston,28.1,67.6
shed_only,2025-03-15 06,sample,north,19.0,69.6
shed_only,2025-03-15 06,sample,south,31.1,62.6
shed_only,2025-03-15 06,sample,west,1837.1,64.8
shed_only,2025-03-18 00,sample,houston,28.5,45.7
shed_only,2025-03-18 00,sample,north,23.2,38.1
shed_only,2025-03-18 00,sample,south,30.2,30.9
shed_only,2025-03-18 00,sample,west,1777.0,-20.6
shed_only,2025-03-20 15,sample,houston,28.5,15.6
shed_only,2025-03-20 15,sample,north,21.3,15.4
shed_only,2025-03-20 15,sample,south,30.6,13.3
shed_only,2025-03-20 15,sample,west,1042.6,15.3
shed_only,2025-03-21 20,sample,houston,27.8,3.6
shed_only,2025-03-21 20,sample,north,23.5,1.4
shed_only,2025-03-21 20,sample,south,29.4,-2.4
shed_only,2025-03-21 20,sample,west,705.8,0.8
shed_only,2025-03-24 14,sample,houston,28.8,4.6
shed_only,2025-03-24 14,sample,north,17.6,5.2
shed_only,2025-03-24 14,sample,south,29.6,6.3
shed_only,2025-03-24 14,sample,west,2001.2,5.7
shed_only,2025-03-29 13,sample,houston,27.8,24.9
shed_only,2025-03-29 13,sample,north,16.5,23.9
shed_only,2025-03-29 13,sample,south,32.3,24.3
shed_only,2025-03-29 13,sample,west,1212.5,13.6
shed_only,2025-04-03 05,sample,houston,36.6,27.9
shed_only,2025-04-03 05,sample,north,23.3,25.9
shed_only,2025-04-03 05,sample,south,41.3,26.8
shed_only,2025-04-03 05,sample,west,1858.3,40.2
shed_only,2025-04-06 21,sample,houston,28.2,0.6
shed_only,2025-04-06 21,sample,north,24.8,1.7
shed_only,2025-04-06 21,sample,south,29.0,-3.1
shed_only,2025-04-06 21,sample,west,601.6,0.6
shed_only,2025-04-07 13,sample,houston,35.5,24.3
shed_only,2025-04-07 13,sample,north,22.7,25.4
shed_only,2025-04-07 13,sample,south,40.9,23.5
shed_only,2025-04-07 13,sample,west,1120.8,25.4
shed_only,2025-04-09 00,sample,houston,32.6,49.8
shed_only,2025-04-09 00,sample,north,22.9,45.9
shed_only,2025-04-09 00,sample,south,35.8,50.4
shed_only,2025-04-09 00,sample,west,1264.5,55.4
shed_only,2025-04-12 08,sample,houston,27.5,17.3
shed_only,2025-04-12 08,sample,north,13.2,18.2
shed_only,2025-04-12 08,sample,south,32.8,16.6
shed_only,2025-04-12 08,sample,west,2005.4,17.2
shed_only,2025-04-21 08,sample,houston,28.2,20.6
shed_only,2025-04-21 08,sample,north,16.6,17.3
shed_only,2025-04-21 08,sample,south,32.4,23.5
shed_only,2025-04-21 08,sample,west,1861.4,31.4
shed_only,2025-04-22 19,sample,houston,28.9,54.0
shed_only,2025-04-22 19,sample,north,23.5,22.9
shed_only,2025-04-22 19,sample,south,29.7,10.0
shed_only,2025-04-22 19,sample,west,987.4,0.9
shed_only,2025-04-26 15,sample,houston,27.7,15.3
shed_only,2025-04-26 15,sample,north,10.0,10.8
shed_only,2025-04-26 15,sample,south,32.2,10.4
shed_only,2025-04-26 15,sample,west,2014.4,7.5
shed_only,2025-04-27 13,sample,houston,28.0,20.9
shed_only,2025-04-27 13,sample,north,19.4,20.6
shed_only,2025-04-27 13,sample,south,31.4,20.7
shed_only,2025-04-27 13,sample,west,1302.7,20.4
shed_only,2025-04-28 20,sample,houston,29.8,56.0
shed_only,2025-04-28 20,sample,north,22.0,22.2
shed_only,2025-04-28 20,sample,south,31.5,7.4
shed_only,2025-04-28 20,sample,west,1230.9,8.2
shed_only,2025-04-30 13,sample,houston,28.8,25.0
shed_only,2025-04-30 13,sample,north,23.0,25.2
shed_only,2025-04-30 13,sample,south,29.1,21.8
shed_only,2025-04-30 13,sample,west,1800.9,25.4
shed_only,2025-05-03 15,sample,houston,27.9,14.4
shed_only,2025-05-03 15,sample,north,21.1,10.7
shed_only,2025-05-03 15,sample,south,29.5,3.1
shed_only,2025-05-03 15,sample,west,1111.9,8.7
shed_only,2025-05-07 13,sample,houston,28.1,18.8
shed_only,2025-05-07 13,sample,north,18.3,18.6
shed_only,2025-05-07 13,sample,south,32.2,19.0
shed_only,2025-05-07 13,sample,west,1080.6,18.7
shed_only,2025-05-09 12,sample,houston,29.2,22.4
shed_only,2025-05-09 12,sample,north,14.3,22.6
shed_only,2025-05-09 12,sample,south,31.5,19.9
shed_only,2025-05-09 12,sample,west,1941.3,23.6
shed_only,2025-05-11 20,sample,houston,28.5,18.1
shed_only,2025-05-11 20,sample,north,26.3,21.3
shed_only,2025-05-11 20,sample,south,28.8,12.9
shed_only,2025-05-11 20,sample,west,679.5,17.5
shed_only,2025-05-13 21,sample,houston,29.7,45.8
shed_only,2025-05-13 21,sample,north,25.9,14.0
shed_only,2025-05-13 21,sample,south,32.1,26.3
shed_only,2025-05-13 21,sample,west,929.0,7.6
shed_only,2025-05-19 13,sample,houston,28.4,21.9
shed_only,2025-05-19 13,sample,north,24.4,21.2
shed_only,2025-05-19 13,sample,south,29.6,15.7
shed_only,2025-05-19 13,sample,west,559.8,21.2
shed_only,2025-05-21 19,sample,houston,29.0,27.0
shed_only,2025-05-21 19,sample,north,26.4,11.6
shed_only,2025-05-21 19,sample,south,29.3,27.0
shed_only,2025-05-21 19,sample,west,559.4,9.5
shed_only,2025-05-23 15,sample,houston,29.1,32.0
shed_only,2025-05-23 15,sample,north,20.1,18.9
shed_only,2025-05-23 15,sample,south,31.9,24.0
shed_only,2025-05-23 15,sample,west,1136.4,4.9
shed_only,2025-05-26 21,sample,houston,28.9,22.1
shed_only,2025-05-26 21,sample,north,28.1,22.3
shed_only,2025-05-26 21,sample,south,28.9,19.0
shed_only,2025-05-26 21,sample,west,651.3,22.3
shed_only,2025-05-30 20,sample,houston,37.2,27.6
shed_only,2025-05-30 20,sample,north,25.3,27.6
shed_only,2025-05-30 20,sample,south,43.3,27.6
shed_only,2025-05-30 20,sample,west,1100.9,27.6
shed_only,2025-05-31 20,sample,houston,29.9,30.0
shed_only,2025-05-31 20,sample,north,26.9,26.7
shed_only,2025-05-31 20,sample,south,99.3,34.2
shed_only,2025-05-31 20,sample,west,1089.5,27.8
shed_only,2025-06-02 00,sample,houston,40.7,58.5
shed_only,2025-06-02 00,sample,north,27.8,60.0
shed_only,2025-06-02 00,sample,south,55.4,55.1
shed_only,2025-06-02 00,sample,west,1061.3,60.6
shed_only,2025-06-03 21,sample,houston,29.1,28.5
shed_only,2025-06-03 21,sample,north,27.0,19.8
shed_only,2025-06-03 21,sample,south,29.3,19.5
shed_only,2025-06-03 21,sample,west,555.0,17.0
shed_only,2025-06-04 06,sample,houston,35.5,21.3
shed_only,2025-06-04 06,sample,north,20.3,19.4
shed_only,2025-06-04 06,sample,south,40.1,23.1
shed_only,2025-06-04 06,sample,west,1861.3,30.9
shed_only,2025-06-05 06,sample,houston,40.7,24.6
shed_only,2025-06-05 06,sample,north,26.5,24.9
shed_only,2025-06-05 06,sample,south,49.5,23.6
shed_only,2025-06-05 06,sample,west,1901.6,25.1
shed_only,2025-06-06 06,sample,houston,33.4,24.2
shed_only,2025-06-06 06,sample,north,23.0,23.3
shed_only,2025-06-06 06,sample,south,36.3,25.2
shed_only,2025-06-06 06,sample,west,1749.3,30.4
shed_only,2025-06-08 20,sample,houston,29.5,38.0
shed_only,2025-06-08 20,sample,north,31.1,19.6
shed_only,2025-06-08 20,sample,south,30.3,16.8
shed_only,2025-06-08 20,sample,west,505.1,5.8
shed_only,2025-06-16 20,sample,houston,30.8,25.8
shed_only,2025-06-16 20,sample,north,36.3,22.8
shed_only,2025-06-16 20,sample,south,30.4,29.0
shed_only,2025-06-16 20,sample,west,971.6,24.5
shed_only,2025-06-17 20,sample,houston,30.0,55.9
shed_only,2025-06-17 20,sample,north,30.4,18.8
shed_only,2025-06-17 20,sample,south,29.9,13.1
shed_only,2025-06-17 20,sample,west,795.2,-3.7
shed_only,2025-06-21 19,sample,houston,30.4,24.8
shed_only,2025-06-21 19,sample,north,22.5,21.5
shed_only,2025-06-21 19,sample,south,30.2,12.0
shed_only,2025-06-21 19,sample,west,1115.1,-4.5
shed_only,2025-06-25 15,sample,houston,28.9,19.5
shed_only,2025-06-25 15,sample,north,24.9,17.8
shed_only,2025-06-25 15,sample,south,29.3,20.6
shed_only,2025-06-25 15,sample,west,1039.2,17.4
shed_only,2025-06-29 15,sample,houston,28.9,19.0
shed_only,2025-06-29 15,sample,north,24.9,18.6
shed_only,2025-06-29 15,sample,south,29.4,18.3
shed_only,2025-06-29 15,sample,west,1138.0,18.6
shed_only,2025-07-01 19,sample,houston,38.0,87.5
shed_only,2025-07-01 19,sample,north,53.0,64.8
shed_only,2025-07-01 19,sample,south,48.2,38.2
shed_only,2025-07-01 19,sample,west,1085.0,59.6
shed_only,2025-07-06 13,sample,houston,29.4,22.5
shed_only,2025-07-06 13,sample,north,16.8,22.6
shed_only,2025-07-06 13,sample,south,33.3,22.5
shed_only,2025-07-06 13,sample,west,1961.4,22.8
shed_only,2025-07-09 19,sample,houston,31.4,39.9
shed_only,2025-07-09 19,sample,north,29.6,41.2
shed_only,2025-07-09 19,sample,south,31.6,38.0
shed_only,2025-07-09 19,sample,west,1064.4,42.4
shed_only,2025-07-10 06,sample,houston,30.6,23.7
shed_only,2025-07-10 06,sample,north,12.8,23.3
