score_start,score_end,window_start,n_kept,n_constraints,n_groups,oos_pooled_r2,is_pooled_r2,rank_spearman,sign_agree,topdecile_hit,coverage,sf_stability,sf_stability_proj,group_churn,window_days,refit_days,ridge_lambda,std_floor,min_binding_hours,rho_min
2025-04-20 00:00:00+00:00,2025-04-27 00:00:00+00:00,2024-08-23 00:00:00+00:00,1011,3442,,0.26484135798481323,0.9694663741850956,0.8057442054631145,0.9122413462766636,0.7457482993197279,0.7866032250312461,,,,240,7,1.0,100.0,25,ungrouped
2025-04-27 00:00:00+00:00,2025-05-04 00:00:00+00:00,2024-08-30 00:00:00+00:00,1024,3522,,0.5225371326826962,0.9697389710213407,0.7387372998526154,0.7904227795937969,0.6395687560738581,0.807009139499138,,,,240,7,1.0,100.0,25,ungrouped
2025-05-04 00:00:00+00:00,2025-05-11 00:00:00+00:00,2024-09-06 00:00:00+00:00,1040,3603,,0.39432542164726103,0.9694586257426164,0.7249256531641095,0.7185797634013474,0.6985119047619047,0.7778312277743663,,,,240,7,1.0,100.0,25,ungrouped
2025-05-11 00:00:00+00:00,2025-05-18 00:00:00+00:00,2024-09-13 00:00:00+00:00,1056,3684,,0.6162964099931767,0.9699116448203156,0.8116711705639484,0.8336040916899208,0.7104166666666666,0.808164461519495,,,,240,7,1.0,100.0,25,ungrouped
2025-05-18 00:00:00+00:00,2025-05-25 00:00:00+00:00,2024-09-20 00:00:00+00:00,1055,3730,,0.6728724210781898,0.9695169374480538,0.8879630575127626,0.8762958863678288,0.8192857142857142,0.8666561600994279,,,,240,7,1.0,100.0,25,ungrouped
2025-05-25 00:00:00+00:00,2025-06-01 00:00:00+00:00,2024-09-27 00:00:00+00:00,1051,3695,,0.8988774959248323,0.9696609025189298,0.8105653686768846,0.9342852562634544,0.7963095238095238,0.9083044073263251,,,,240,7,1.0,100.0,25,ungrouped
2025-06-01 00:00:00+00:00,2025-06-08 00:00:00+00:00,2024-10-04 00:00:00+00:00,1039,3655,,0.8802224760298838,0.9699532091848437,0.8471639213178465,0.8857306036376417,0.8962676803394626,0.9230571621886866,,,,240,7,1.0,100.0,25,ungrouped
2025-06-08 00:00:00+00:00,2025-06-15 00:00:00+00:00,2024-10-11 00:00:00+00:00,1040,3633,,0.8713437957998398,0.9699811271070742,0.8953164503609414,0.9323441623047973,0.8477722772277227,0.8837528770526721,,,,240,7,1.0,100.0,25,ungrouped
2025-06-15 00:00:00+00:00,2025-06-22 00:00:00+00:00,2024-10-18 00:00:00+00:00,1037,3598,,0.831320577936089,0.9695528828388628,0.8518009106669412,0.9132254917899528,0.8527817067421027,0.9569633402614858,,,,240,7,1.0,100.0,25,ungrouped
2025-06-22 00:00:00+00:00,2025-06-29 00:00:00+00:00,2024-10-25 00:00:00+00:00,1029,3581,,0.8603586353796281,0.9705334194836945,0.8319538799602474,0.9303549299942664,0.8621522866572372,0.9075564059891308,,,,240,7,1.0,100.0,25,ungrouped
2025-06-29 00:00:00+00:00,2025-07-06 00:00:00+00:00,2024-11-01 00:00:00+00:00,1024,3522,,0.8493048483038796,0.971118063211704,0.862025961009744,0.9020587173004488,0.8677470555654733,0.9333896486648806,,,,240,7,1.0,100.0,25,ungrouped
2025-07-06 00:00:00+00:00,2025-07-13 00:00:00+00:00,2024-11-08 00:00:00+00:00,1020,3499,,0.8790389309949104,0.9718027266181147,0.8598886344656378,0.8783837186326813,0.8318307905686547,0.904942589053529,,,,240,7,1.0,100.0,25,ungrouped
2025-07-13 00:00:00+00:00,2025-07-20 00:00:00+00:00,2024-11-15 00:00:00+00:00,1021,3465,,0.8948045316199822,0.9724367614217104,0.8723029292063751,0.9217713472661087,0.8084835876098011,0.9051897438078279,,,,240,7,1.0,100.0,25,ungrouped
2025-07-20 00:00:00+00:00,2025-07-27 00:00:00+00:00,2024-11-22 00:00:00+00:00,1014,3433,,0.8261527513687099,0.9727013929650857,0.8292351546246783,0.8812706158781799,0.8131645862228386,0.9150119793449523,,,,240,7,1.0,100.0,25,ungrouped
2025-07-27 00:00:00+00:00,2025-08-03 00:00:00+00:00,2024-11-29 00:00:00+00:00,1016,3426,,0.8697015206811396,0.9739357071244826,0.7571652137572512,0.8526731121981046,0.7543342579750346,0.7987469637102854,,,,240,7,1.0,100.0,25,ungrouped
2025-08-03 00:00:00+00:00,2025-08-10 00:00:00+00:00,2024-12-06 00:00:00+00:00,1031,3456,,0.6142566496592409,0.9744283332285059,0.9115221374176143,0.9637700512443873,0.8314112566236351,0.9677206066198807,,,,240,7,1.0,100.0,25,ungrouped
2025-08-10 00:00:00+00:00,2025-08-17 00:00:00+00:00,2024-12-13 00:00:00+00:00,1028,3441,,0.9516132465550416,0.9761711888527962,0.8755383858956947,0.9453435696914787,0.8633814102564101,0.954267677108714,,,,240,7,1.0,100.0,25,ungrouped
2025-08-17 00:00:00+00:00,2025-08-24 00:00:00+00:00,2024-12-20 00:00:00+00:00,1026,3424,,0.9598049796367759,0.9781689089140637,0.8348359002847141,0.932057872114149,0.8574290293040292,0.9625549368557696,,,,240,7,1.0,100.0,25,ungrouped
2025-08-24 00:00:00+00:00,2025-08-31 00:00:00+00:00,2024-12-27 00:00:00+00:00,1026,3459,,0.9184220720469494,0.9795579938080067,0.837866758404829,0.9044207918004168,0.8516483516483516,0.9357169059050259,,,,240,7,1.0,100.0,25,ungrouped
2025-08-31 00:00:00+00:00,2025-09-07 00:00:00+00:00,2025-01-03 00:00:00+00:00,1041,3489,,0.9220036392898738,0.9800024899803786,0.876481764804001,0.9466151501959077,0.8982371794871794,0.9206868590002285,0.022890442199197385,,,240,7,1.0,100.0,25,ungrouped
2025-09-07 00:00:00+00:00,2025-09-14 00:00:00+00:00,2025-01-10 00:00:00+00:00,1039,3503,,0.9457923778822738,0.9799659321976255,0.9151138638367858,0.9707985376868212,0.8854166666666666,0.9593322355984525,0.09324379803285697,,,240,7,1.0,100.0,25,ungrouped
2025-09-14 00:00:00+00:00,2025-09-21 00:00:00+00:00,2025-01-17 00:00:00+00:00,1038,3534,,0.4706976149922125,0.9789755579137239,0.7679373525465164,0.9021039693442268,0.7301968864468864,0.6911029406804201,0.15156802287968535,,,240,7,1.0,100.0,25,ungrouped
2025-09-21 00:00:00+00:00,2025-09-28 00:00:00+00:00,2025-01-24 00:00:00+00:00,1046,3592,,0.49966778880052765,0.9791177712090973,0.7193418638426301,0.9193304522780575,0.8444940476190477,0.7076514820864654,0.17723022910477973,,,240,7,1.0,100.0,25,ungrouped
2025-09-28 00:00:00+00:00,2025-10-05 00:00:00+00:00,2025-01-31 00:00:00+00:00,1069,3616,,0.9178399110757827,0.9792285071199741,0.8562265457047276,0.9446211579699786,0.8305266657945228,0.888052326197862,0.2104564927573708,,,240,7,1.0,100.0,25,ungrouped
2025-10-05 00:00:00+00:00,2025-10-12 00:00:00+00:00,2025-02-07 00:00:00+00:00,1079,3642,,0.867673805033222,0.9788900694424828,0.8316652310621271,0.9179469145842033,0.8320294784580499,0.9027620532953197,0.21617710964277842,,,240,7,1.0,100.0,25,ungrouped
2025-10-12 00:00:00+00:00,2025-10-19 00:00:00+00:00,2025-02-14 00:00:00+00:00,1067,3700,,0.7239565247708664,0.974495311111157,0.8733369214965879,0.9273979410720625,0.7976757369614514,0.776430837924001,0.19518408681290755,,,240,7,1.0,100.0,25,ungrouped
2025-10-19 00:00:00+00:00,2025-10-26 00:00:00+00:00,2025-02-21 00:00:00+00:00,1076,3739,,0.8448617494119408,0.9741507493403434,0.9155419856313671,0.950900479350769,0.8316893424036282,0.8158783833761521,0.22936706234868584,,,240,7,1.0,100.0,25,ungrouped
