bus,sub,lat,lon
1001,1,31.8414,-102.315
1002,2,29.888046,-104.519139
1003,3,32.926389,-101.647778
1004,3,32.926389,-101.647778
1005,4,32.240278,-101.473611
1006,4,32.240278,-101.473611
1007,5,31.09348,-104.624514
1008,6,30.976638,-102.257753
1009,6,30.976638,-102.257753
1010,7,29.6,-104.3
1011,7,29.6,-104.3
1012,8,30.028067,-101.970461
1013,9,31.484586,-103.161046
1014,10,31.165245,-103.125868
1015,11,30.285296,-104.005761
1016,12,31.74325,-101.493407
1017,13,31.725171,-102.413607
1018,14,31.799171,-102.632933
1019,15,31.979427,-102.132366
1020,16,31.9925,-101.1167
1021,16,31.9925,-101.1167
1022,17,32.929014,-101.578617
1023,17,32.929014,-101.578617
1024,18,32.0015,-102.6337
1025,19,32.039,-101.22
1026,19,32.039,-101.22
1027,20,32.321673,-102.042298
1028,21,32.875073,-101.208955
1029,22,31.992384,-102.081464
1030,23,29.802094,-103.22236
1031,24,31.004969,-103.759065
1032,25,31.219444,-102.19222
1033,25,31.219444,-102.19222
1034,26,31.991442,-101.302637
1035,26,31.991442,-101.302637
1036,27,31.10409,-102.60625
1037,28,31.799158,-102.47409
1038,29,30.772575,-102.505808
1039,29,30.772575,-102.505808
1040,30,32.335729,-102.697303
1041,31,32.1408,-101.3986
1042,31,32.1408,-101.3986
1044,32,31.207988,-101.110787
1045,33,32.053604,-102.20166
1046,34,30.575618,-101.331239
1047,35,31.5839,-102.9633
1048,35,31.5839,-102.9633
1049,35,31.5839,-102.9633
1050,35,31.5839,-102.9633
1051,35,31.5839,-102.9633
1052,35,31.5839,-102.9633
1053,35,31.5839,-102.9633
1054,36,32.489818,-101.754488
1055,37,32.92701,-101.764414
1056,38,32.2353,-101.8367
1057,38,32.2353,-101.8367
1058,39,30.8847,-101.9208
1061,40,32.273178,-101.422386
1062,40,32.273178,-101.422386
1063,40,32.273178,-101.422386
1064,41,32.001129,-102.312423
1065,42,32.100823,-101.451385
1066,42,32.100823,-101.451385
1067,43,32.1217,-101.3853
1068,44,31.517628,-101.918007
1069,45,30.9178,-102.0867
1070,45,30.9178,-102.0867
1071,46,31.8403,-102.3264
1072,46,31.8403,-102.3264
1073,46,31.8403,-102.3264
1074,46,31.8403,-102.3264
1075,46,31.8403,-102.3264
1076,46,31.8403,-102.3264
1077,46,31.8403,-102.3264
1079,46,31.8403,-102.3264
1081,46,31.8403,-102.3264
1082,47,30.807272,-102.355628
1083,48,30.747459,-102.790792
1084,49,31.9361,-101.2983
1085,50,31.696251,-103.138992
1086,51,31.803547,-103.599914
1087,52,30.596998,-101.78453
1088,53,31.2092,-102.2417
