sub,name,lat,lon
1,ODESSA 2,31.8414,-102.315
2,PRESIDIO 2,29.888046,-104.519139
3,O DONNELL 1,32.926389,-101.647778
4,BIG SPRING 5,32.240278,-101.473611
5,VAN HORN,31.09348,-104.624514
6,IRAAN 2,30.976638,-102.257753
7,PRESIDIO 1,29.6,-104.3
8,SANDERSON,30.028067,-101.970461
9,MONAHANS 2,31.484586,-103.161046
10,GRANDFALLS,31.165245,-103.125868
11,MARFA,30.285296,-104.005761
12,GARDEN CITY,31.74325,-101.493407
13,ODESSA 4,31.725171,-102.413607
14,NOTREES,31.799171,-102.632933
15,MIDLAND 4,31.979427,-102.132366
16,BIG SPRING 1,31.9925,-101.1167
17,O DONNELL 2,32.929014,-101.578617
18,ODESSA 6,32.0015,-102.6337
19,BIG SPRINGS,32.039,-101.22
20,MIDLAND 2,32.321673,-102.042298
21,COAHOMA,32.875073,-101.208955
22,MIDLAND 3,31.992384,-102.081464
23,ALPINE,29.802094,-103.22236
24,FORT DAVIS,31.004969,-103.759065
25,MCCAMEY 1,31.219444,-102.19222
26,BIG SPRING 4,31.991442,-101.302637
27,CRANE,31.10409,-102.60625
28,ODESSA 5,31.799158,-102.47409
29,FORT STOCKTON 1,30.772575,-102.505808
30,ANDREWS,32.335729,-102.697303
31,FORSAN,32.1408,-101.3986
32,BIG LAKE,31.207988,-101.110787
33,MIDLAND 5,32.053604,-102.20166
34,OZONA,30.575618,-101.331239
35,MONAHANS 1,31.5839,-102.9633
36,STANTON,32.489818,-101.754488
37,ODONNELL,32.92701,-101.764414
38,LENORAH,32.2353,-101.8367
39,IRAAN 3,30.8847,-101.9208
40,BIG SPRING 6,32.273178,-101.422386
41,ODESSA 3,32.001129,-102.312423
42,BIG SPRING 3,32.100823,-101.451385
43,BIG SPRING 7,32.1217,-101.3853
44,MIDLAND 1,31.517628,-101.918007
45,IRAAN 1,30.9178,-102.0867
46,ODESSA 1,31.8403,-102.3264
47,FORT STOCKTON 2,30.807272,-102.355628
48,FORT STOCKTON 3,30.747459,-102.790792
49,BIG SPRING 2,31.9361,-101.2983
50,KERMIT,31.696251,-103.138992
51,PECOS,31.803547,-103.599914
52,SHEFFIELD,30.596998,-101.78453
53,MCCAMEY 2,31.2092,-102.2417
54,LAMESA,32.929648,-102.133506
55,GOLDSMITH,31.995,-102.828333
56,RALLS 2,33.658671,-101.531037
57,PARIS 3,33.63291,-95.39071
58,SAVOY,33.628143,-96.367605
59,HONEY GROVE,33.615167,-95.900109
60,MEMPHIS,34.857258,-100.512868
61,IOWA PARK,33.973297,-98.721096
62,VERNON 2,33.915315,-99.740278
63,PANHANDLE 2,35.238333,-101.310833
64,CHILDRESS,34.447226,-100.809848
65,FORESTBURG,33.471617,-97.445189
66,SHERMAN 3,33.627623,-96.767394
67,PANHANDLE 4,35.4275,-101.253056
68,WICHITA FALLS 6,33.943784,-98.523064
69,PARIS 2,33.6968,-95.5577
70,WICHITA FALLS 4,33.864515,-98.491046
71,WHEELER,35.830763,-100.765905
72,DEPORT,33.481551,-95.269247
73,WICHITA FALLS 3,34.004783,-98.388757
74,SILVERTON,34.432267,-101.237233
75,BONHAM,33.708311,-96.240654
76,MATADOR,33.710684,-100.384217
77,ARTHUR CITY,33.857868,-95.649137
78,LEONARD,33.500378,-96.146489
79,GORDONVILLE,33.830932,-96.839764
80,KNOX CITY,33.431837,-99.853667
81,WICHITA FALLS 7,33.894941,-98.54367
82,LINDSAY,33.54915,-97.32958
83,ECTOR,33.55352,-96.282897
84,SUNSET,33.455991,-97.751818
85,CLARKSVILLE,33.663063,-94.997258
86,PANHANDLE 3,35.386038,-101.578572
87,SADLER,33.737974,-96.839543
88,WHITESBORO,33.743893,-96.936121
89,SHEPPARD AFB,33.969523,-98.509016
90,POTTSBORO,33.800717,-96.725989
91,BELLS,33.623645,-96.427874
92,CROSBYTON,33.752201,-100.967402
93,ELECTRA,34.102943,-99.118746
94,PATTONVILLE,33.39167,-95.42519
95,HENRIETTA,33.75849,-98.202251
96,PANHANDLE 6,34.90076,-100.994549
97,BOWIE,33.520572,-97.95612
98,WICHITA FALLS 1,33.9133,-98.4931
99,WHITE DEER,35.4789,-101.2439
100,ROXTON,33.576823,-95.809701
101,VERNON 1,34.292913,-99.367734
102,DENISON 2,33.8181,-96.5692
103,SUMNER,33.745236,-95.744327
104,GAINESVILLE,33.661583,-97.17635
105,ASPERMONT,33.183064,-100.245133
106,WICHITA FALLS 5,33.799085,-98.50984
107,WINDTHORST,33.509722,-98.360833
108,HOWE,33.450768,-96.742245
109,ARCHER 2,33.493056,-98.581944
110,COLLINSVILLE,33.537706,-96.906575
111,JAYTON,32.96736,-100.56428
112,MUENSTER 1,33.733006,-97.428406
113,PADUCAH,33.994322,-100.287247
114,NOCONA,33.793074,-97.963802
115,DODD CITY,33.615539,-96.072156
116,WICHITA FALLS 2,33.8625,-98.5894
117,MONTAGUE,33.626904,-97.687873
118,SPUR,33.341053,-100.714732
119,ARCHER 1,33.495278,-98.5
120,ANNONA,33.498221,-94.890845
121,SEYMOUR,33.57824,-99.1921
122,DENISON 1,33.727126,-96.470794
123,PANHANDLE 5,35.3503,-101.54
124,RALLS 1,33.713671,-101.433811
125,SHERMAN 1,33.582573,-96.617893
126,WHITEWRIGHT,33.498186,-96.378894
127,SHERMAN 2,33.604131,-96.550405
128,ROCHESTER,33.345366,-99.624257
129,BURKBURNETT,34.103273,-98.622467
130,MUENSTER 2,33.703851,-97.372009
131,ARCHER CITY,33.527396,-98.884782
132,PETROLIA,34.008308,-98.25932
133,PARIS 1,33.6308,-95.59
134,BAGWELL,33.801868,-95.151966
135,TELEPHONE,33.778716,-95.996823
136,PANHANDLE 1,35.442778,-101.372778
137,VAN ALSTYNE,33.43566,-96.549913
138,TIOGA,33.464643,-96.892724
139,VALLEY VIEW,33.458028,-97.128552
140,MIAMI,35.653889,-100.538611
141,TRENTON,33.439125,-96.311485
142,HASKELL,33.186882,-99.595332
143,SAINT JO,33.741367,-97.535329
144,KERRVILLE,30.036701,-99.163039
145,SWEETWATER 4,32.3606,-100.3389
146,LEAKEY,29.64447,-99.682471
147,HAMLIN,32.857004,-100.124032
148,MERKEL 3,32.473621,-100.032723
149,COLEMAN,31.736902,-99.567791
150,SONORA,30.441414,-100.56062
151,CAMP WOOD,29.6747,-100.078588
152,LLANO,30.653746,-98.918266
153,WILLOW CITY,30.437069,-98.708714
154,ABILENE 4,32.335677,-99.667488
155,KINGSLAND,30.731599,-98.385422
156,ROSCOE 6,32.415212,-100.573539
157,BLACKWELL,32.255978,-100.320309
158,CHRISTOVAL,31.048557,-100.623114
159,LUEDERS,32.783669,-99.720186
160,COLORADO CITY,32.3358,-100.9156
161,STAMFORD,32.940911,-99.850964
162,ELDORADO,30.883539,-100.595464
163,SAN SABA,31.157093,-98.763991
164,ABILENE 2,32.6256,-99.4928
165,LOMETA,31.257224,-98.376742
166,SAN ANGELO 1,31.50972,-100.322075
167,TUSCOLA,32.274081,-99.826041
168,ABILENE 7,32.333551,-99.927724
169,SNYDER 1,32.631073,-101.008494
170,CHEROKEE,30.93982,-99.079893
171,RICHLAND SPRINGS,31.5481,-99.1872
172,ROSCOE 2,32.4694,-100.6664
173,BALLINGER,31.738576,-99.934162
174,SILVER,32.05,-100.6917
175,ROSCOE 5,32.3122,-100.5303
176,ANSON,32.796921,-99.880885
177,DEL RIO,29.83722,-101.212436
178,HUNT,30.095115,-99.628211
179,WINGATE,32.214024,-100.05712
180,STERLING CITY 1,31.951958,-101.018936
181,ROSCOE 4,32.199366,-100.491908
182,BRADY,31.176951,-99.616412
183,TRENT 1,32.4301,-100.235652
184,OVALO,32.120249,-99.753027
185,NOLAN,32.2878,-100.1
186,MILES,31.534768,-100.113803
187,BRACKETTVILLE 2,29.234722,-100.209167
188,MASON,30.843122,-99.570053
189,BRACKETTVILLE 3,29.395621,-100.439985
190,ABILENE 6,32.362783,-99.817314
191,HERMLEIGH,32.5886,-100.6728
192,MERKEL 1,32.318221,-100.176986
193,LORAINE 1,32.4375,-100.7444
194,ABILENE 1,32.5144,-99.6564
