bus,lat,lon,carrier,capacity_mw,sub_id,sub_name,eia_plant_code,match_quality
1006,32.240278,-101.473611,wind,120.0,4,BIG SPRING 5,56776.0,matched_all
1008,30.976638,-102.257753,solar,28.0,6,IRAAN 2,61346.0,matched_fuel
1009,30.976638,-102.257753,solar,222.0,6,IRAAN 2,61346.0,matched_all
1011,29.6,-104.3,solar,10.0,7,PRESIDIO 1,58488.0,matched_all
1021,31.9925,-101.1167,wind,231.5,16,BIG SPRING 1,56979.0,matched_all
1023,32.929014,-101.578617,wind,180.0,17,O DONNELL 2,56956.0,matched_all
1024,32.0015,-102.6337,solar,16.8,18,ODESSA 6,63388.0,matched_all
1026,32.039,-101.22,wind,124.2,19,BIG SPRINGS,56394.0,matched_all
1033,31.219444,-102.19222,battery,50.0,25,MCCAMEY 1,62561.0,matched_fuel
1035,31.991442,-101.302637,wind,89.5,26,BIG SPRING 4,56479.0,matched_all
1039,30.772575,-102.505808,wind,132.0,29,FORT STOCKTON 1,57415.0,matched_all
1042,32.1408,-101.3986,wind,121.9,31,FORSAN,56783.0,matched_all
1048,31.5839,-102.9633,gas,65.0,35,MONAHANS 1,3494.0,matched_fuel
1049,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,matched_fuel
1050,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,matched_fuel
1051,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,matched_fuel
1052,31.5839,-102.9633,gas,63.0,35,MONAHANS 1,3494.0,matched_fuel
1057,32.2353,-101.8367,wind,120.0,38,LENORAH,56644.0,matched_all
1062,32.273178,-101.422386,gas,71.0,40,BIG SPRING 6,52176.0,matched_all
1063,32.273178,-101.422386,gas,71.0,40,BIG SPRING 6,52176.0,matched_all
1066,32.100823,-101.451385,wind,142.5,42,BIG SPRING 3,56920.0,matched_all
1067,32.1217,-101.3853,wind,58.8,43,BIG SPRING 7,56959.0,matched_all
1070,30.9178,-102.0867,wind,167.7,45,IRAAN 1,55992.0,matched_all
1072,31.8403,-102.3264,gas,206.0,46,ODESSA 1,55215.0,matched_all
1073,31.8403,-102.3264,gas,206.0,46,ODESSA 1,55215.0,matched_all
1074,31.8403,-102.3264,gas,166.7,46,ODESSA 1,55215.0,matched_all
1075,31.8403,-102.3264,gas,166.7,46,ODESSA 1,55215.0,matched_all
1076,31.8403,-102.3264,gas,158.2,46,ODESSA 1,55215.0,matched_all
1077,31.8403,-102.3264,gas,158.2,46,ODESSA 1,55215.0,matched_all
1090,31.995,-102.828333,battery,36.0,55,GOLDSMITH,56961.0,matched_all
1090,31.995,-102.828333,battery,60.0,55,GOLDSMITH,56961.0,matched_fuel
2001,33.63291,-95.39071,solar,10.0,57,PARIS 3,61810.0,matched_all
2013,35.238333,-101.310833,wind,211.2,63,PANHANDLE 2,58596.0,matched_all
2019,35.4275,-101.253056,wind,218.0,67,PANHANDLE 4,58242.0,matched_all
2023,33.6968,-95.5577,gas,87.0,69,PARIS 2,50109.0,matched_all
2024,33.6968,-95.5577,gas,76.0,69,PARIS 2,50109.0,matched_all
2042,35.386038,-101.578572,wind,79.6,86,PANHANDLE 3,58363.0,matched_all
2062,34.292913,-99.367734,wind,135.4,101,VERNON 1,58372.0,matched_all
2063,33.8181,-96.5692,hydro,50.0,102,DENISON 2,6416.0,matched_all
2063,33.8181,-96.5692,hydro,50.0,102,DENISON 2,6416.0,matched_all
2071,33.493056,-98.581944,wind,161.0,109,ARCHER 2,57974.0,matched_all
2076,32.96736,-100.56428,wind,250.0,111,JAYTON,62142.0,matched_all
2078,33.733006,-97.428406,wind,112.5,112,MUENSTER 1,58080.0,matched_all
2082,33.8625,-98.5894,gas,17.0,116,WICHITA FALLS 2,50127.0,matched_all
2083,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,matched_all
2084,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,matched_all
2085,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,matched_all
2089,33.495278,-98.5,wind,67.6,119,ARCHER 1,59238.0,matched_all
2091,33.57824,-99.1921,wind,30.2,121,SEYMOUR,62227.0,matched_all
2099,33.713671,-101.433811,wind,150.0,124,RALLS 1,59417.0,matched_fuel
2103,33.582573,-96.617893,gas,287.0,125,SHERMAN 1,58005.0,matched_all
2104,33.582573,-96.617893,gas,199.0,125,SHERMAN 1,58005.0,matched_all
2105,33.582573,-96.617893,gas,199.0,125,SHERMAN 1,58005.0,matched_all
2106,33.498186,-96.378894,solar,10.0,126,WHITEWRIGHT,61524.0,matched_all
2115,33.6308,-95.59,gas,204.0,133,PARIS 1,55097.0,matched_all
2116,33.6308,-95.59,gas,204.0,133,PARIS 1,55097.0,matched_all
2117,33.6308,-95.59,gas,153.0,133,PARIS 1,55097.0,matched_all
2118,33.6308,-95.59,gas,153.0,133,PARIS 1,55097.0,matched_all
2119,33.6308,-95.59,gas,145.0,133,PARIS 1,55097.0,matched_fuel
2120,33.6308,-95.59,gas,145.0,133,PARIS 1,55097.0,matched_fuel
3004,32.3606,-100.3389,wind,37.5,145,SWEETWATER 4,56211.0,matched_all
3014,30.731599,-98.385422,hydro,13.8,155,KINGSLAND,3598.0,matched_all
3017,32.255978,-100.320309,wind,418.9,157,BLACKWELL,62587.0,matched_all
3020,31.048557,-100.623114,wind,199.5,158,CHRISTOVAL,61782.0,matched_all
3028,32.6256,-99.4928,wind,200.0,164,ABILENE 2,56395.0,matched_all
3034,32.631073,-101.008494,wind,311.0,169,SNYDER 1,60271.0,matched_all
3039,32.4694,-100.6664,wind,209.0,172,ROSCOE 2,56593.0,matched_all
3055,32.214024,-100.05712,wind,299.0,179,WINGATE,56291.0,matched_fuel
3056,32.214024,-100.05712,wind,223.5,179,WINGATE,56291.0,matched_all
3057,32.214024,-100.05712,wind,213.0,179,WINGATE,56291.0,matched_all
3060,31.951958,-101.018936,wind,214.5,180,STERLING CITY 1,56763.0,matched_fuel
3061,31.951958,-101.018936,wind,186.0,180,STERLING CITY 1,56763.0,matched_all
3062,31.951958,-101.018936,wind,149.5,180,STERLING CITY 1,56763.0,matched_all
3063,31.951958,-101.018936,wind,112.5,180,STERLING CITY 1,56763.0,matched_fuel
3065,32.199366,-100.491908,wind,182.4,181,ROSCOE 4,62836.0,matched_all
3068,32.4301,-100.235652,wind,152.0,183,TRENT 1,55968.0,matched_all
3071,32.2878,-100.1,wind,170.2,185,NOLAN,56638.0,matched_all
3074,29.234722,-100.209167,wind,99.8,187,BRACKETTVILLE 2,58000.0,matched_all
3081,32.5886,-100.6728,wind,249.0,191,HERMLEIGH,56981.0,matched_location
3084,32.318221,-100.176986,wind,232.5,192,MERKEL 1,56484.0,matched_all
3086,32.4375,-100.7444,wind,75.0,193,LORAINE 1,57303.0,matched_all
3087,32.4375,-100.7444,wind,73.5,193,LORAINE 1,57303.0,matched_all
3092,32.5144,-99.6564,wind,200.0,194,ABILENE 1,56483.0,matched_all
3095,32.311556,-100.061589,wind,120.6,196,MERKEL 2,56240.0,matched_all
3098,32.94793,-101.147784,wind,182.4,197,FLUVANNA 2,56111.0,matched_all
3104,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,matched_all
3105,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,matched_all
3106,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,matched_all
3110,32.931944,-101.143611,wind,155.4,206,FLUVANNA 1,59245.0,matched_all
3112,31.951944,-100.791389,wind,80.0,207,STERLING CITY 2,56754.0,matched_all
3113,31.951944,-100.791389,wind,69.6,207,STERLING CITY 2,56754.0,matched_all
3115,32.969722,-100.524167,wind,30.0,209,ROTAN,58048.0,matched_all
3117,32.718056,-100.793333,wind,120.0,210,SYNDER,56775.0,matched_all
3120,29.325033,-100.391847,battery,100.0,211,BRACKETTVILLE 1,58717.0,matched_location
3122,32.4969,-100.5797,wind,197.0,212,ROSCOE 1,56984.0,matched_all
4007,26.189433,-98.322929,battery,10.0,239,MCALLEN 2,66927.0,matched_all
4010,27.022112,-97.498478,wind,201.6,241,SARITA 3,56795.0,matched_all
4026,28.7044,-98.4775,coal,391.0,254,CHRISTINE,6183.0,matched_all
4030,28.7128,-97.214167,coal,655.0,256,FANNIN,6178.0,matched_all
4035,27.811083,-97.595813,gas,33.0,261,CORPUS CHRISTI 18,50475.0,matched_fuel
4041,26.230677,-98.114039,battery,10.0,266,SAN JUAN,66929.0,matched_all
4045,26.5575,-99.1642,hydro,10.5,268,FALCON HEIGHTS 1,6410.0,matched_all
4046,26.5575,-99.1642,hydro,10.0,268,FALCON HEIGHTS 1,6410.0,matched_all
4047,26.5575,-99.1642,hydro,10.0,268,FALCON HEIGHTS 1,6410.0,matched_all
4050,26.364843,-97.545341,wind,272.6,270,SEBASTIAN 2,63739.0,matched_all
4052,27.5697,-97.8228,gas,32.5,271,BISHOP,10243.0,matched_fuel
4058,27.882778,-97.242778,gas,155.0,275,GREGORY,55313.0,matched_all
4059,27.882778,-97.242778,gas,155.0,275,GREGORY,55313.0,matched_all
4060,27.882778,-97.242778,gas,150.0,275,GREGORY,55313.0,matched_all
4065,27.81922,-97.535461,battery,150.0,276,CORPUS CHRISTI 2,66783.0,matched_fuel
4067,26.179999,-97.725607,battery,10.0,278,HARLINGEN 1,66933.0,matched_all
4068,26.296101,-98.0096,battery,10.0,279,ELSA,66931.0,matched_all
4069,27.8175,-97.4814,oil,26.6,280,CORPUS CHRISTI 17,50121.0,matched_location
4069,27.8175,-97.4814,oil,26.6,280,CORPUS CHRISTI 17,50121.0,matched_location
4069,27.8175,-97.4814,oil,12.0,280,CORPUS CHRISTI 17,50121.0,matched_location
4075,26.208,-98.3992,gas,181.0,283,MISSION 1,55098.0,matched_all
4076,26.208,-98.3992,gas,177.0,283,MISSION 1,55098.0,matched_all
4077,26.208,-98.3992,gas,177.0,283,MISSION 1,55098.0,matched_all
4082,27.6064,-97.3117,gas,319.0,286,CORPUS CHRISTI 3,4939.0,matched_all
4083,27.6064,-97.3117,gas,292.0,286,CORPUS CHRISTI 3,4939.0,matched_fuel
4084,27.6064,-97.3117,gas,157.0,286,CORPUS CHRISTI 3,4939.0,matched_fuel
4085,27.6064,-97.3117,gas,157.0,286,CORPUS CHRISTI 3,4939.0,matched_fuel
4090,26.269683,-97.867012,biomass,10.0,290,SANTA ROSA 1,54338.0,matched_fuel
4100,27.833756,-97.496523,other,11.7,292,CORPUS CHRISTI 13,50121.0,matched_all
4100,27.833756,-97.496523,other,11.7,292,CORPUS CHRISTI 13,50121.0,matched_all
4102,26.074676,-97.52318,battery,10.0,294,OLMITO,66932.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
