bus,lat,lon,carrier,capacity_mw,sub_id,sub_name,eia_plant_code,eia_county,match_quality,county,load_zone,pv_region,wind_region
1006,32.240278,-101.473611,wind,120.0,4,BIG SPRING 5,56776.0,Howard,matched_all,Howard,west,,West
1008,30.976638,-102.257753,solar,28.0,6,IRAAN 2,61346.0,Pecos,matched_all,Pecos,west,FarWest,
1009,30.976638,-102.257753,solar,222.0,6,IRAAN 2,61346.0,Pecos,matched_all,Pecos,west,FarWest,
1011,29.6,-104.3,solar,10.0,7,PRESIDIO 1,58488.0,Presidio,matched_all,Presidio,west,FarWest,
1021,31.9925,-101.1167,wind,231.5,16,BIG SPRING 1,56979.0,Sterling,matched_all,Sterling,west,,West
1023,32.929014,-101.578617,wind,180.0,17,O DONNELL 2,56956.0,Borden,matched_all,Borden,west,,West
1024,32.0015,-102.6337,solar,16.8,18,ODESSA 6,63388.0,Ector,matched_all,Ector,west,FarWest,
1026,32.039,-101.22,wind,124.2,19,BIG SPRINGS,56394.0,Glasscock,matched_all,Sterling,west,,West
1033,31.219444,-102.19222,battery,50.0,25,MCCAMEY 1,62561.0,Upton,matched_fuel,Upton,west,,
1035,31.991442,-101.302637,wind,89.5,26,BIG SPRING 4,56479.0,Glasscock,matched_all,Glasscock,west,,West
1039,30.772575,-102.505808,wind,132.0,29,FORT STOCKTON 1,57415.0,Pecos,matched_all,Pecos,west,,West
1042,32.1408,-101.3986,wind,121.9,31,FORSAN,56783.0,Howard,matched_all,Howard,west,,West
1048,31.5839,-102.9633,gas,65.0,35,MONAHANS 1,3494.0,Ward,matched_fuel,Ward,west,,
1049,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,Ward,matched_fuel,Ward,west,,
1050,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,Ward,matched_fuel,Ward,west,,
1051,31.5839,-102.9633,gas,64.0,35,MONAHANS 1,3494.0,Ward,matched_fuel,Ward,west,,
1052,31.5839,-102.9633,gas,63.0,35,MONAHANS 1,3494.0,Ward,matched_fuel,Ward,west,,
1057,32.2353,-101.8367,wind,120.0,38,LENORAH,56644.0,Martin,matched_all,Martin,west,,West
1062,32.273178,-101.422386,gas,71.0,40,BIG SPRING 6,52176.0,Howard,matched_all,Howard,west,,
1063,32.273178,-101.422386,gas,71.0,40,BIG SPRING 6,52176.0,Howard,matched_all,Howard,west,,
