settlement_point,sp_type,lat,lon,match_method,match_confidence
LZ_AEN,LZ,30.2672,-97.7431,manual,1.0
LZ_CPS,LZ,29.4241,-98.4936,manual,1.0
LZ_HOUSTON,LZ,29.8604,-95.3198,manual,1.0
LZ_LCRA,LZ,30.4700,-97.8120,manual,1.0
LZ_NORTH,LZ,33.1767,-96.7470,manual,1.0
LZ_RAYBN,LZ,33.1500,-96.0600,manual,1.0
LZ_SOUTH,LZ,28.8060,-97.0030,manual,1.0
LZ_WEST,LZ,32.5500,-101.9500,manual,1.0
HB_HOUSTON,HB,29.7604,-95.6198,manual,1.0
HB_NORTH,HB,32.7767,-96.7970,manual,1.0
HB_PAN,HB,34.9900,-101.9100,manual,1.0
HB_SOUTH,HB,27.8060,-98.5030,manual,1.0
HB_WEST,HB,32.4500,-101.5000,manual,1.0
HB_HUBAVG,HB,31.0000,-99.0000,manual,1.0
HB_BUSAVG,HB,31.0000,-99.0000,manual,1.0
