name,bus,carrier,p_nom,marginal_cost
G0,1006,wind,120.0,0.0
G1,1008,solar,28.0,0.0
G2,1009,solar,222.0,0.0
G3,1011,solar,10.0,0.0
G4,1021,wind,231.5,0.0
G5,1023,wind,180.0,0.0
G6,1024,solar,16.8,0.0
G7,1026,wind,124.2,0.0
G8,1033,battery,50.0,0.0
G9,1035,wind,89.5,0.0
G10,1039,wind,132.0,0.0
G11,1042,wind,121.9,0.0
G12,1048,gas,65.0,28.55
G13,1049,gas,64.0,28.55
G14,1050,gas,64.0,28.55
G15,1051,gas,64.0,28.55
G16,1052,gas,63.0,28.55
G17,1057,wind,120.0,0.0
G18,1062,gas,71.0,28.55
G19,1063,gas,71.0,28.55
G20,1066,wind,142.5,0.0
G21,1067,wind,58.8,0.0
G22,1070,wind,167.7,0.0
G23,1072,gas,206.0,28.55
G24,1073,gas,206.0,28.55
G25,1074,gas,166.7,28.55
G26,1075,gas,166.7,28.55
G27,1076,gas,158.2,28.55
G28,1077,gas,158.2,28.55
G29,1090,battery,36.0,0.0
G30,1090,battery,60.0,0.0
G31,2001,solar,10.0,0.0
G32,2013,wind,211.2,0.0
G33,2019,wind,218.0,0.0
G34,2023,gas,87.0,28.55
G35,2024,gas,76.0,28.55
G36,2042,wind,79.6,0.0
G37,2062,wind,135.4,0.0
G38,2063,hydro,50.0,1.71
G39,2063,hydro,50.0,1.71
G40,2071,wind,161.0,0.0
G41,2076,wind,250.0,0.0
G42,2078,wind,112.5,0.0
G43,2082,gas,17.0,28.55
G44,2083,gas,19.7,28.55
G45,2084,gas,19.7,28.55
G46,2085,gas,19.7,28.55
G47,2089,wind,67.6,0.0
G48,2091,wind,30.2,0.0
G49,2099,wind,150.0,0.0
G50,2103,gas,287.0,28.55
G51,2104,gas,199.0,28.55
G52,2105,gas,199.0,28.55
G53,2106,solar,10.0,0.0
G54,2115,gas,204.0,28.55
G55,2116,gas,204.0,28.55
G56,2117,gas,153.0,28.55
G57,2118,gas,153.0,28.55
G58,2119,gas,145.0,28.55
G59,2120,gas,145.0,28.55
G60,3004,wind,37.5,0.0
G61,3014,hydro,13.8,1.71
G62,3017,wind,418.9,0.0
