settlement_point,sp_type,lat,lon,match_method,match_confidence,matched_plant,matched_capacity_mw,station_description,owner_re,expected_mw,capacity_ratio,load_zone
LZ_AEN,load_zone,30.2672,-97.7431,manual,1.0,,,,,,,south
LZ_CPS,load_zone,29.4241,-98.4936,manual,1.0,,,,,,,south
LZ_HOUSTON,load_zone,29.7604,-95.3698,manual,1.0,,,,,,,houston
LZ_LCRA,load_zone,30.47,-97.812,manual,1.0,,,,,,,south
LZ_NORTH,load_zone,32.7767,-96.797,manual,1.0,,,,,,,north
LZ_RAYBN,load_zone,33.15,-96.11,manual,1.0,,,,,,,north
LZ_SOUTH,load_zone,28.806,-97.003,manual,1.0,,,,,,,south
LZ_WEST,load_zone,32.45,-101.5,manual,1.0,,,,,,,west
HB_HOUSTON,hub,29.7604,-95.3698,manual,1.0,,,,,,,houston
HB_NORTH,hub,32.7767,-96.797,manual,1.0,,,,,,,north
HB_PAN,hub,34.99,-101.91,manual,1.0,,,,,,,west
HB_SOUTH,hub,28.806,-97.003,manual,1.0,,,,,,,south
HB_WEST,hub,32.45,-101.5,manual,1.0,,,,,,,west
HB_HUBAVG,hub,31.0,-99.0,manual,1.0,,,,,,,south
HB_BUSAVG,hub,31.0,-99.0,manual,1.0,,,,,,,south
7RNCHSLR_ALL,OTHER,29.806984,-97.07408,station_description,1.0,7V Solar Ranch,240.0,7V SOLAR RANCH,7V SOLAR RANCH LLC,242.0,1.008,south
A4_DGR1_RN,RN,29.356924,-98.601522,manual,1.0,Pearsall,201.60000000000002,PEARSAL,PRIME POWER SOLUTIONS LLC DBA LIFE CYCLE POWER,35.0,0.174,south
A4_DGR2_RN,RN,29.35701,-98.601678,manual,1.0,Pearsall,201.60000000000002,PEARSAL,PRIME POWER SOLUTIONS LLC DBA LIFE CYCLE POWER,35.0,0.174,south
ABINDUST_RN,RN,32.465197,-99.81157,manual,1.0,,0.0,ABILENE INDUSTRIAL PARK,DISTRIBUTED GENERATION SOLUTIONS LLC,10.0,,west
ADL_RN,RN,30.009659,-95.040827,owner_name,1.0,Liberty Hybrid Solar and Storage Project,67.2,ADLONG SOLAR,LIBERTY 1 SOLAR LLC,60.0,0.893,houston
AEEC,OTHER,33.865,-101.843333,manual,1.0,Antelope Station,0.0,ANTELOPE ELK ENERGY CENTER,GOLDEN SPREAD ELECTRIC COOPERATIVE INC,774.0,,west
AE_RN,RN,29.228486000000004,-95.42744,gridstatus,1.0,Angleton,9.9,ANGLETON,WINMIL CLEAN ENERGY CENTER LLC,10.0,1.01,houston
AGUAYO_UNIT1,OTHER,31.39376,-98.35936,lmp_node_designation,1.0,Castle Gap Wind,196.8,AGUAYO WIND,CASTLE GAP WIND POWER LLC | GALT POWER INC,194.0,0.986,north
AJAXWIND_RN,RN,33.85245,-99.06509,owner_name,1.0,Western Trail Wind LLC,366.6,AJAX WIND,WESTERN TRAIL WIND LLC,367.0,1.001,west
ALAMO_ST_RN,RN,30.902,-102.8732,manual,1.0,SMT Alamo LLC,10.0,,ALAMO CLEAN ENERGY CENTER LLC,0.0,,west
ALGOD_ALL_RN,RN,27.992706,-97.743983,station_description,1.0,El Algodon Alto Wind Farm LLC,200.2,EL ALGODON ALTO WIND FARM,EL ALGODON ALTO WIND FARM LLC | RWE CLEAN ENERGY LLC,201.0,1.004,south
ALP_BESS_RN,RN,32.715680000000006,-102.06027,gridstatus,1.0,Al Pastor Battery Storage Plant,100.3,,AL PASTOR BESS LLC | HABITAT ENERGY INC,0.0,,west
ALVIN_RN,RN,29.433245,-95.249367,station_description,1.0,Alvin,9.9,ALVIN TNP,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,10.0,1.01,houston
AMADEUS_ALL,OTHER,32.96736,-100.56428,station_description,1.0,Amadeus Wind Farm,250.0,AMADEUS WIND 1 | AMADEUS WIND 2,AMADEUS WIND LLC,251.0,1.004,west
AMAD_ESS_RN,RN,32.4793,-96.0321,manual,1.0,,0.0,,BT AMADOR STORAGE LLC,0.0,,north
AMISTAD_ALL,OTHER,29.449827,-101.06011,station_description,1.0,Amistad Dam & Power,66.0,AMISTAD PLANT,INTERNATIONAL BOUNDARY AND WATER COMMISSION US SECTION,70.0,1.061,west
AMOCOOIL_CC1,PCCRN,29.363582,-94.924033,manual,1.0,,0.0,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMOCOOIL_CC2,PCCRN,29.363582,-94.924033,manual,1.0,,0.0,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMOCO_PUN1,PUN,29.363582,-94.924033,manual,1.0,,0.0,,,0.0,,houston
AMOCO_PUN2,PUN,29.363582,-94.924033,manual,1.0,,0.0,,,0.0,,houston
AMO_AMOCO_1,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_2,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_5,OTHER,29.363582,-94.924033,manual,1.0,,0.0,,,0.0,,houston
AMO_AMOCO_G1,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_G2,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_G3,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_S1,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
AMO_AMOCO_S2,OTHER,29.363581999999994,-94.924033,gridstatus,1.0,Houston Plant,7.5,,SOUTH HOUSTON GREEN POWER LLC | SOUTH HOUSTON GREEN POWER LP,0.0,,houston
ANACACHO_ANA,OTHER,29.234722,-100.209167,lmp_node_designation,1.0,Anacacho Wind Farm LLC,99.8,ANACACHO,ANACACHO WIND FARM LLC | RWE CLEAN ENERGY LLC,100.0,1.002,south
ANCHOR_ALL,OTHER,32.308524,-99.164198,owner_name,1.0,Ranchland Wind Project II,148.0,ANCHOR WIND AND BESS,RANCHLAND WIND STORAGE LLC | ENEL TRADING NORTH AMERICA LLC | RANCHLAND WIND PROJECT LLC | RANCHLAND WIND PROJECT II LLC,263.0,1.777,west
ANDMDSLR_ALL,OTHER,32.906622,-101.007589,gridstatus,1.0,Lumina II Solar Project,486.6,ANDROMEDA SOLAR,IP LUMINA II LLC | IPX POWER USA LLC,321.0,0.66,west
ANEM_ESS_RN,RN,26.45,-98.48,owner_name,1.0,Anemoi Energy Storage,200.0,,ANEMOI ENERGY STORAGE LLC | PLUS POWER LLC,0.0,,south
ANG_ALL,OTHER,31.513785999999996,-100.598226,gridstatus,1.0,Angelo Solar,195.0,ANGELO SOLAR,ANGELO STORAGE LLC | APEX CLEAN ENERGY HOLDINGS LLC | ANGELO SOLAR LLC,195.0,1.0,west
ANOL_ESS_RN,RN,32.552083,-96.539931,owner_name,1.0,Anole Energy Storage,240.0,,ANOLE ENERGY STORAGE LLC,0.0,,north
ANSON1_ALL,OTHER,32.811041,-99.91749,station_description,1.0,ANSON Solar Center LLC,200.0,ANSON SOLAR 1,ANSON SOLAR CENTER LLC | ENGIE ENERGY MARKETING NA INC | ANSON SOLAR CENTER 2 LLC,202.0,1.01,west
ANTL_ESS_ES1,OTHER,29.72753,-100.7943,gridstatus,1.0,Antlia,70.0,,BRP ANTLIA BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,west
APPALOSA_ALL,OTHER,31.157269,-101.831603,station_description,1.0,Appaloosa Run Wind,171.8,APPALOOSA RUN WIND,APPALOOSA RUN WIND LLC | NEXTERA ENERGY RESOURCES LLC,172.0,1.001,west
APPLE_ESR_RN,RN,31.6757,-102.3638,manual,1.0,,0.0,,APPLE INFRA LLC,0.0,,west
AQLA_WND_RN,RN,31.936717,-96.893394,gridstatus,1.0,Hubbard Wind,300.0,,HUBBARD WIND II LLC | NEXTERA ENERGY RESOURCES LLC,0.0,,north
AQUI_ALL,OTHER,31.751320000000007,-96.8893,gridstatus,1.0,Hubbard Wind,300.0,AQUILLA LAKE WIND,HUBBARD WIND LLC | NEXTERA ENERGY RESOURCES LLC,300.0,1.0,north
ARAGORN_RN,RN,31.719983,-104.442292,station_description,1.0,Aragorn Solar Project,187.2,ARAGORN SOLAR,SE ARAGORN LLC | SB ENERGY DEVCO (US) INC,188.0,1.004,west
ARY_BESS_RN,RN,26.264118,-97.608343,manual,1.0,,0.0,,BT CANTWELL SOLAR LLC,0.0,,south
ASCK_SLR_RN,RN,31.898184999999998,-97.018248,gridstatus,1.0,Ash Creek Solar,408.9,ASH CREEK SOLAR,ASH CREEK SOLAR LLC,418.0,1.022,north
