bus,gen_id,fuel,unit_type
1006,1,WND,UN
1008,1,SUN,UN
1009,1,SUN,UN
1011,1,SUN,UN
1021,1,WND,UN
1023,1,WND,UN
1024,1,SUN,UN
1026,1,WND,UN
1033,BA,MWH,UN
1035,2,WND,UN
1039,1,WND,UN
1042,1,WND,UN
1048,1,NG,UN
1049,1,NG,UN
1050,1,NG,UN
1051,1,NG,UN
1052,1,NG,UN
1057,1,WND,UN
1062,1,NG,UN
1063,1,NG,UN
1066,1,WND,UN
1067,1,WND,UN
1070,1,WND,UN
1072,1,NG,UN
1073,1,NG,UN
1074,1,NG,UN
1075,1,NG,UN
1076,1,NG,UN
1077,1,NG,UN
1090,2,MWH,UN
1090,GE,WND,UN
2001,1,SUN,UN
2013,1,WND,UN
2019,1,WND,UN
2023,1,NG,UN
2024,1,NG,UN
2042,1,WND,UN
2062,1,WND,UN
2063,1,WAT,UN
2063,2,WAT,UN
2071,1,WND,UN
2076,1,WND,UN
2078,1,WND,UN
2082,1,NG,UN
2083,1,NG,UN
2084,1,NG,UN
2085,1,NG,UN
2089,1,WND,UN
2091,1,WND,UN
2099,1,WND,UN
2103,1,NG,UN
2104,1,NG,UN
2105,1,NG,UN
2106,1,SUN,UN
2115,1,NG,UN
2116,1,NG,UN
2117,1,NG,UN
2118,1,NG,UN
2119,1,NG,UN
2120,1,NG,UN
3004,1,WND,UN
3014,1,WAT,UN
3017,1,WND,UN
3020,1,WND,UN
3028,1,WND,UN
3034,1,WND,UN
3039,1,WND,UN
3055,3,WND,UN
3056,2,WND,UN
3057,1,WND,UN
3060,2,WND,UN
3061,3,WND,UN
3062,1,WND,UN
3063,4,WND,UN
3065,1,WND,UN
3068,1,WND,UN
3071,1,WND,UN
3074,1,WND,UN
3081,1,WND,UN
3084,1,WND,UN
3086,1,WND,UN
3087,1,WND,UN
3092,1,WND,UN
3095,1,WND,UN
3098,1,WND,UN
3104,3,WAT,UN
3105,1,WAT,UN
3106,2,WAT,UN
3110,1,WND,UN
3112,1,WND,UN
3113,2,WND,UN
3115,1,WND,UN
3117,1,WND,UN
3120,1,MWH,UN
3122,1,WND,UN
4007,1,MWH,UN
4010,1,WND,UN
4026,1,BIT,UN
4030,1,BIT,UN
4035,1,NG,UN
4041,1,MWH,UN
4045,1,WAT,UN
4046,2,WAT,UN
4047,3,WAT,UN
4050,1,WND,UN
4052,1,NG,UN
4058,1,NG,UN
4059,1,NG,UN
4060,1,NG,UN
4065,1,MWH,UN
4067,1,MWH,UN
4068,1,MWH,UN
4069,1,DFO,UN
4069,2,DFO,UN
4069,3,OTH,UN
4075,1,NG,UN
4076,1,NG,UN
4077,1,NG,UN
4082,2,NG,UN
4083,1,NG,UN
4084,3,NG,UN
4085,4,NG,UN
4090,1,OBL,UN
4100,1,OTH,UN
4100,2,OTH,UN
4102,1,MWH,UN
4103,1,NG,UN
4103,10,NG,UN
4103,11,NG,UN
4103,12,NG,UN
4103,2,NG,UN
4103,3,NG,UN
4103,4,NG,UN
4103,5,NG,UN
4103,6,NG,UN
4103,7,NG,UN
4103,8,NG,UN
4103,9,NG,UN
4105,1,WND,UN
4111,1,MWH,UN
4115,4,NG,UN
4116,5,NG,UN
4121,1,SUN,UN
4133,1,SUN,UN
4153,1,WND,UN
4160,7,NG,UN
4161,8,NG,UN
4162,9,NG,UN
4166,1,WND,UN
4177,1,WND,UN
5012,1,NG,UN
5012,10,NG,UN
5012,11,NG,UN
5012,12,NG,UN
5012,2,NG,UN
5012,3,NG,UN
5012,4,NG,UN
5012,5,NG,UN
5012,6,NG,UN
5012,7,NG,UN
5012,8,NG,UN
5012,9,NG,UN
5020,BC,WND,UN
5029,1,SUN,UN
5049,1,DFO,UN
5049,2,NG,UN
5051,1,DFO,UN
5057,2,NG,UN
5058,1,NG,UN
5080,1,SUN,UN
5081,1,SUN,UN
5089,1,NG,UN
5115,1,SUN,UN
5154,1,MWH,UN
5166,4,NG,UN
5167,5,NG,UN
5170,1,WND,UN
5174,1,SUN,UN
5198,1,WND,UN
5206,1,NG,UN
5207,1,NG,UN
5208,1,NG,UN
5219,1,MWH,UN
5231,1,MWH,UN
5238,1,WND,UN
5243,1,WND,UN
5262,1,NUC,UN
5263,2,NUC,UN
5281,1,NG,UN
5282,1,NG,UN
5283,1,NG,UN
5284,1,SUN,UN
5290,1,WAT,UN
5290,2,WAT,UN
5319,1,NG,UN
5320,1,NG,UN
5321,1,NG,UN
5324,8,NG,UN
5325,6,NG,UN
5326,7,NG,UN
5360,1,BIT,UN
5382,1,NG,UN
5383,1,NG,UN
5399,1,WND,UN
5403,ST,NG,UN
5404,1,NG,UN
5405,1,NG,UN
5415,3,NG,UN
5416,4,NG,UN
5417,5,NG,UN
5418,2,NG,UN
5419,1,NG,UN
6001,1,SUN,UN
6006,3,NG,UN
6007,1,NG,UN
6008,2,NG,UN
6027,1,MWH,UN
6069,1,NG,UN
6070,1,NG,UN
6071,1,NG,UN
6072,1,NG,UN
6073,1,NG,UN
6074,1,NG,UN
6078,1,BIT,UN
6079,2,BIT,UN
6080,3,BIT,UN
6082,1,WAT,UN
6083,2,WAT,UN
6101,1,NG,UN
6104,1,NG,UN
6105,1,NG,UN
6106,1,NG,UN
6116,1,MWH,UN
6137,1,WAT,UN
6137,2,WAT,UN
6137,3,WAT,UN
6155,1,SUN,UN
6164,1,NG,UN
6165,1,NG,UN
6166,1,NG,UN
6167,1,NG,UN
6168,1,MWH,UN
6175,1,NG,UN
6175,2,NG,UN
6175,3,NG,UN
6175,4,NG,UN
6182,1,NG,UN
6182,2,NG,UN
6182,3,NG,UN
6182,4,NG,UN
6213,1,WAT,UN
6214,2,WAT,UN
6233,1,NG,UN
6233,2,NG,UN
6233,3,NG,UN
6233,4,NG,UN
6242,1,NG,UN
6243,2,NG,UN
6254,1,NG,UN
6254,2,NG,UN
6254,3,NG,UN
6254,4,NG,UN
6257,5A,NG,UN
6258,5C,NG,UN
6259,1,NG,UN
6260,1,NG,UN
6277,2,NG,UN
6277,G1,NG,UN
6277,G2,NG,UN
6277,G3,NG,UN
6277,G4,NG,UN
6277,G5,NG,UN
6277,G6,NG,UN
6277,G7,NG,UN
6277,G8,NG,UN
6277,G9,NG,UN
6295,1,NG,UN
6296,1,NG,UN
