"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"1370 SHANNON LLC (RE)","SHANNONW_UNIT_1","Generation","Not Applicable","1370 SHANNON LLC (DME)","1450336317000","N"
"224WB 8ME LLC (RE)","GALLOWAY_SOLAR2","Generation","Not Applicable","224WB 8ME LLC (DME)","0815527087000","N"
"225DD 8ME LLC (RE)","GALLOWAY_SOLAR1","Generation","Not Applicable","225DD 8ME LLC (DME)","0815490207000","N"
"226HC 8ME LLC (RE)","HOLSTEIN_SOLAR1","Generation","Not Applicable","226HC 8ME LLC (DME)","1169540657000","N"
"226HC 8ME LLC (RE)","HOLSTEIN_SOLAR2","Generation","Not Applicable","226HC 8ME LLC (DME)","1169540657000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_ESR1","Storage","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_PV1","Generation","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_PV2","Generation","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT1","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT2","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT3","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"ABLES SPRINGS SOLAR LLC (RE)","ELZA_SLR_SOLAR1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"ABLES SPRINGS STORAGE LLC (RE)","ELZA_SLR_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AE TELVIEW ESS LLC (RE)","TV_ESR1","Storage","Not Applicable","AE TELVIEW ESS LLC (DME)","1189455027000","N"
"AGGREKO MSR GRID PC2 LLC (RE)","LANTANA_ESR1","Storage","Not Applicable","AGGREKO MSR GRID PC2 LLC (DME)","1193710767000","N"
