PHYSICAL_LOAD,NOIE,VOLTAGE_NAME,SUBSTATION,ELECTRICAL_BUS
AMD_T1X,LZ_AEN,138,ADVANCE,AMDX
AMD_T1Y,LZ_AEN,138,ADVANCE,AMDY
AG_123,LZ_AEN,138,ANGUS,ANGUSVAL
AG_456,LZ_AEN,138,ANGUS,ANGUSVALZ
AD_123,LZ_AEN,138,AUSTIN,AUSTIN_KN
AD_456,LZ_AEN,138,AUSTIN,AUSTIN_KQ
BAL_T1,LZ_AEN,138,BALCNRS,UTBALCY
BAL_T2,LZ_AEN,138,BALCNRS,UTBALCZ
BA_101112,LZ_AEN,138,BARTON,BARTONZ
BA_123,LZ_AEN,138,BARTON,BARTONW
BA_456,LZ_AEN,138,BARTON,BARTONX
BA_789,LZ_AEN,138,BARTON,BARTONY
BC_1234,LZ_AEN,138,BEECREEK,BCN4
BC_5678,LZ_AEN,138,BEECREEK,5678
BC_91011,LZ_AEN,138,BEECREEK,BEECREEKZ
BE_123,LZ_AEN,138,BERGSTRO,BERGSTRM
BE_456,LZ_AEN,138,BERGSTRO,BERGSTRMZ
BF_1234,LZ_AEN,138,BLUFFSPG,BF1234
BF_5678,LZ_AEN,138,BLUFFSPG,BF5678
BR_123,LZ_AEN,69,BRACKENR,BRACK
BR_456,LZ_AEN,69,BRACKENR,BRACKY
BR_789,LZ_AEN,69,BRACKENR,BRACKZ
BL_123,LZ_AEN,138,BRODIE,BRODIEX
BL_456,LZ_AEN,138,BRODIE,BRODIEY
BL_789,LZ_AEN,138,BRODIE,BRODIEZ
BU_123,LZ_AEN,138,BURLESON,BURLES13X
BU_456,LZ_AEN,138,BURLESON,BURLES13Y
BU_789,LZ_AEN,138,BURLESON,BU789
CM_101112,LZ_AEN,138,CAMERON,CAMERON_Z
CM_123,LZ_AEN,138,CAMERON,CAMERON
CM_456,LZ_AEN,138,CAMERON,CAMERONY
CM_789,LZ_AEN,138,CAMERON,CAMERONZ
CL_101112,LZ_AEN,138,CARDINAL,CARDINAL_KF
CL_123,LZ_AEN,138,CARDINAL,CARDINAL_K
CL_456,LZ_AEN,138,CARDINAL,EB_CARD_0008
CL_789,LZ_AEN,138,CARDINAL,CARDINAL_KO
CC_123,LZ_AEN,138,CARSON,CARSONY
