RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME
7RNCHSLR_ALL,7RNCHSLR,UNIT1
7RNCHSLR_ALL,7RNCHSLR,UNIT2
7RNCHSLR_ALL,7RNCHSLR,UNIT3
A4_DGR1_RN,A4,DGR1
A4_DGR2_RN,A4,DGR2
ABINDUST_RN,ABINDUST,ESR1
ADL_RN,ADL,ESR1
ADL_RN,ADL,SOLAR1
AEEC,AEEC,ANTLP_1
AEEC,AEEC,ANTLP_2
AEEC,AEEC,ANTLP_3
AEEC,AEEC,ELK_1
AEEC,AEEC,ELK_2
AEEC,AEEC,ELK_3
AE_RN,AE,ESR1
AGUAYO_UNIT1,AGUAYO,UNIT1
AJAXWIND_RN,AJAXWIND,UNIT1
AJAXWIND_RN,AJAXWIND,UNIT2
ALAMO_ST_RN,ALAMO_ST,ESR1
ALGOD_ALL_RN,ALGODON,UNIT1
ALGOD_ALL_RN,ALGODON,UNIT2
ALP_BESS_RN,ALP_BESS,ESR1
ALVIN_RN,ALVIN,ESR1
AMADEUS_ALL,AMADEUS1,UNIT1
AMADEUS_ALL,AMADEUS1,UNIT2
AMADEUS_ALL,AMADEUS2,UNIT3
AMAD_ESS_RN,AMAD_ESS,ESR1
AMISTAD_ALL,AMISTAD,AMISTAG1
AMISTAD_ALL,AMISTAD,AMISTAG2
AMO_AMOCO_1,AMOCOOIL,AMOCO_1
AMO_AMOCO_2,AMOCOOIL,AMOCO_2
AMO_AMOCO_5,AMOCOOIL,AMOCO_5
AMO_AMOCO_G1,AMOCOOIL,AMOCO_G1
AMO_AMOCO_G2,AMOCOOIL,AMOCO_G2
AMO_AMOCO_G3,AMOCOOIL,AMOCO_G3
AMO_AMOCO_S1,AMOCOOIL,AMOCO_S1
AMO_AMOCO_S2,AMOCOOIL,AMOCO_S2
ANACACHO_ANA,ANACACHO,ANA
ANCHOR_ALL,ANCHOR,ESR1
ANCHOR_ALL,ANCHOR,ESR2
ANCHOR_ALL,ANCHOR,WIND1
ANCHOR_ALL,ANCHOR,WIND2
ANCHOR_ALL,ANCHOR,WIND3
ANCHOR_ALL,ANCHOR,WIND4
ANCHOR_ALL,ANCHOR,WIND5
ANDMDSLR_ALL,ANDMDSLR,ESR1
ANDMDSLR_ALL,ANDMDSLR,ESR2
ANDMDSLR_ALL,ANDMDSLR,UNIT1
ANDMDSLR_ALL,ANDMDSLR,UNIT2
ANEM_ESS_RN,ANEM_ESS,ESR1
ANG_ALL,ANG_SLR,ESR1
ANG_ALL,ANG_SLR,UNIT1
ANOL_ESS_RN,ANOL_ESS,ESR1
ANSON1_ALL,ANSON1,UNIT1
ANSON1_ALL,ANSON1,UNIT2
ANSON1_ALL,ANSON2,UNIT1
ANTL_ESS_ES1,ANTL_ESS,ESR1
APPALOSA_ALL,APPALOSA,UNIT1
APPALOSA_ALL,APPALOSA,UNIT2
APPLE_ESR_RN,APPLE,ESR1
AQLA_WND_RN,AQLA_WND,UNIT1
AQLA_WND_RN,AQLA_WND,UNIT2
AQUI_ALL,AQUILLA,U1_23
AQUI_ALL,AQUILLA,U1_28
AQUI_ALL,AQUILLA,U2_23
AQUI_ALL,AQUILLA,U2_28
ARAGORN_RN,ARAGORN,UNIT1
ARY_BESS_RN,ARY_BESS,ESR1
ASCK_SLR_RN,ASCK_SLR,SOLAR1
ASCK_SLR_RN,ASCK_SLR,SOLAR2
ASTRA_RN,ASTRA,UNIT1
ATK_ATKINSG7,ATKINS,ATKINSG7
AURO_SLR_RN,AURO_SLR,UNIT1
AUSTPL_ALL,AUSTPL,AUSTING1
AUSTPL_ALL,AUSTPL,AUSTING2
AVIAT_ALL,AVIATOR,UNIT1
AVIAT_ALL,AVIATOR,UNIT2
AVIAT_ALL,DEWOLF,UNIT1
AVIL_ESS_RN,AVIL_ESS,ESR1
AZSP_SLR_RN,AZSP_SLR,SOLAR1
AZURE_RN,AZURE,ESR1
AZURE_RN,AZURE,SOLAR1
AZURE_RN,AZURE,SOLAR2
AZ_ALL,AZ,AZ_G1
AZ_ALL,AZ,AZ_G2
AZ_ALL,AZ,AZ_G3
AZ_ALL,AZ,AZ_G4
BAC_RN_ALL,BAC,CTG1
BAC_RN_ALL,BAC,CTG2
BAC_RN_ALL,BAC,CTG3
BAC_RN_ALL,BAC,CTG4
BAC_RN_ALL,BAC,CTG5
BAC_RN_ALL,BAC,CTG6
BAFFIN_ALL,BAFFIN,UNIT1
BAFFIN_ALL,BAFFIN,UNIT2
BAIRDWND_ALL,BAIRDWND,UNIT1
BAIRDWND_ALL,BAIRDWND,UNIT2
BAKE_RN_ALL,BAKE_SLR,UNIT1
BAKE_RN_ALL,BAKE_SLR,UNIT2
BARROW_ALL,BARROW,UNIT1
BARROW_ALL,BARROW,UNIT2
BART_SLR_RN,BART_SLR,SOLAR1
BASTEN_CCU,BASTEN,GTG1100
BASTEN_CCU,BASTEN,GTG2100
BASTEN_CCU,BASTEN,ST0100
BATCAVE_RN,BATCAVE,ESR1
BAYC_BESS_RN,BAY_CITY,ESR1
BBREEZE_1_2,BBREEZE,UNIT1
BBREEZE_1_2,BBREEZE,UNIT2
BCATWD_WD_1,BCATWIND,WIND_1
BCH_RN,BCH,UNIT1
BCH_RN,BCH,UNIT2
BCH_RN,BCH,UNIT3
BCH_RN,BCH,UNIT4
BCH_RN,BCH,UNIT5
BCH_RN,BCH,UNIT6
BCH_RN,BCH,UNIT7
BCH_RN,BCH,UNIT8
BCK_RN,BCK,ESR1
BCK_RN,BCK,ESR2
BCK_RN,BCK,UNIT1
BCK_RN,BCK,UNIT2
BCNV2_ES_RN,BCNV2_ES,ESR1
BCNV_RN,BCNV_ESS,ESR1
BELM_SLR_RN,BELM_SLR,UNIT1
BEXAR_ES_RN,BEXAR_ES,ESR1
BIGSAMWD_RN,BIGSAMWD,UNIT1
BIGSAMWD_RN,BIGSAMWD,UNIT2
BIGSTAR_ALL,BIG_STAR,ESR1
BIGSTAR_ALL,BIG_STAR,UNIT1
BIGSTAR_ALL,BIG_STAR,UNIT2
BIRD_ESR1,BIRD_BES,ESR1
BKSL_RN,BKSL_ESS,ESR1
BLACKJAK_RN,BLACKJAK,UNIT1
BLACKJAK_RN,BLACKJAK,UNIT2
BLACKSPR_RN,BLACKSPR,ESR1
BLSMT1_5_A_6,BLSUMIT3,UNIT_17
BLSMT1_5_A_6,BLSUMIT3,UNIT_25
BLSMT1_5_A_6,BLSUMMIT,BLSMT1_5
BLSMT1_5_A_6,BLSUMMIT,BLSMT1_6
BLSMT1_5_A_6,BLSUMMIT,ESR1
BLSMT1_5_A_6,BLSUMMIT,ESR2
BLSMT1_5_A_6,BLSUMMIT,UNIT2_17
BLSMT1_5_A_6,BLSUMMIT,UNIT2_25
BLUEJAY_RN,BLUEJAY,ESR1
BLUEJAY_RN,BLUEJAY,UNIT1
BLUEJAY_RN,BLUEJAY,UNIT2
BLVN_RN,BLVN_SLR,ESR1
BLVN_RN,BLVN_SLR,SOLAR2
BLVN_RN,BLVN_SLR,SOLAR3
BOARDCRK_ALL,BOARDCRK,UNIT1
BOARDCRK_ALL,BOARDCRK,UNIT2
BOCO_ESS_RN,BOCO_ESS,ESR1
BOOTLEG_UN1,BOOTLEG,UNIT1
BORDAS_345,BORDAS,JAVEL18
BORDAS_345,BORDAS,JAVEL20
BORDAS_345,BORDAS2,JAVEL2_A
BORDAS_345,BORDAS2,JAVEL2_B
BORDAS_345,BORDAS2,JAVEL2_C
BOSQ_BSQSU_5,BOSQUESW,BSQSU_5
BOSQ_BSQS_12,BOSQUESW,BSQSU_1
BOSQ_BSQS_12,BOSQUESW,BSQSU_2
BOSQ_BSQS_34,BOSQUESW,BSQSU_3
BOSQ_BSQS_34,BOSQUESW,BSQSU_4
BRAUNIG_VHB1,BRAUNIG,VHB1
BRAUNIG_VHB2,BRAUNIG,VHB2
BRAUNIG_VHB3,BRAUNIG,VHB3
BRAZ_WND_ALL,BRAZ_WND,WND1
BRAZ_WND_ALL,BRAZ_WND,WND2
BRA_AVR1_CT2,BRAUNIG,AVR1_CT2
BRA_AVR_CST1,BRAUNIG,AVR1_CT1
BRA_AVR_CST1,BRAUNIG,AVR1_ST
BRHEIGHT_RN,HEIGHTTN,ESR1
BRIGHTSD_U1,BRIGHTSD,UNIT1
BRISCOE_WIND,BRISCOE,WIND
