ELECTRICAL_BUS,NODE_NAME,PSSE_BUS_NAME,VOLTAGE_LEVEL,SUBSTATION,SETTLEMENT_LOAD_ZONE,RESOURCE_NODE,HUB_BUS_NAME,HUB,PSSE_BUS_NUMBER
0001,0001,L_BUCKRA8_1Y,138,BUBORA,LZ_SOUTH,,,,7103
0001DUPV1_,0001,DUP_DUPV1_G1,13.8,DUPV1,LZ_SOUTH,,,,110681
0001HWFG1,0001,HWF_HWFG1,34.5,HWF,LZ_WEST,,,,150611
0001VICTOR,0001,VIC_VICTORG6,18,VICTORIA,LZ_SOUTH,,,,110882
0001_C,0180,TRI_CNTY,138,F5,LZ_SOUTH,,,,5445
0001_EB,0001,DOW_DOW_ST95,14.4,DOWGEN,LZ_HOUSTON,,,,110147
0001_LO,0001,LOOKOUT,138,LOOKOUT,LZ_NORTH,,,,828
0002,0002,PRSPERO2_5,345,PRSPERO2,LZ_WEST,,,,135183
0002_EB,0002,DOWG_DOW_G81,14.4,DOWGEN,LZ_HOUSTON,,,,110135
0003,0003,SHELBY2,69,SHELBY,LZ_NORTH,,,,961
0003EB,0003,MORRIS_D2_8,138,MRSDO,LZ_NORTH,,,,1864
0003_EB,0003,DOWG_DOW_G82,14.4,DOWGEN,LZ_HOUSTON,,,,110137
0004,0004,NCO_G1,34.5,NCO,LZ_HOUSTON,,,,120321
0004EB,0004,CRANENORTH_9,69,CNPOI,LZ_WEST,,,,1197
0004_1,0004,ENDPARKS_G1,34.5,ENDPARKS,LZ_WEST,,,,183511
0004_EB,0004,DOWG_DOW_G83,14.4,DOWGEN,LZ_HOUSTON,,,,110139
0005,0005,TNSANDRSON0,69,SANDRSON,LZ_WEST,,,,38400
0006,0006,TNDOWNIE__0,69,TNDOWNIE,LZ_WEST,,,,38397
0006B,0006,CRUCIS,138,CRUCIS,LZ_NORTH,,,,33474
0006EB,0006,MAYFLDS_8,138,MAYFD,LZ_NORTH,,,,1914
0006_PV1,0006,ULYS_SLR_S1,34.5,ULYS_SLR,LZ_WEST,,,,183681
0007,0007,CHISMGRD_G1,34.5,CHISMGRD,LZ_NORTH,,,,151361
0007_EB,0008,DOWG_DOW_G61,14.4,DOWGEN,LZ_HOUSTON,,,,110114
0008,0008,LOOKOUT,138,LOOKOUT,LZ_NORTH,,,,828
0008EB,0008,RED_BLUFF1_8,138,REDBF,LZ_WEST,,,,1085
0008_BUS1,0008,SOMERSET,138,E3,LZ_SOUTH,,,,5390
0009,0009,LOOKOUT,138,LOOKOUT,LZ_NORTH,,,,828
0009EB,0009,TARZANSW_8,138,TZPOI,LZ_WEST,,,,1175
0009_EB,0009,PAYNE1_8,138,PAYNE,LZ_NORTH,,,,1758
0009_EBUS,0009,DOWG_DOW_G62,14.4,DOWGEN,LZ_HOUSTON,,,,110115
0010,0010,TNDOWNIE__0,69,TNDOWNIE,LZ_WEST,,,,38397
