Unit Code,Generator Station Code,Generator Station Description,Generator Type,Nameplate Capacity (MW)
7RNCHSLR_UNIT1,7RNCHSLR,7V SOLAR RANCH,Solar,140
7RNCHSLR_UNIT2,7RNCHSLR,7V SOLAR RANCH,Solar,96
7RNCHSLR_UNIT3,7RNCHSLR,7V SOLAR RANCH,Solar,6
A4_DGR1,A4,PEARSAL,Thermal,35
A4_DGR2,A4,PEARSAL,Thermal,35
ABINDUST_BESS1,ABINDUST,ABILENE INDUSTRIAL PARK,Battery,10
ADL_BESS1,ADL,ADLONG SOLAR,Battery,60
ADL_SOLAR1,ADL,ADLONG SOLAR,Solar,60
AE_BESS,AE,ANGLETON,Battery,10
AEEC_ANTLP_1,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,56
AEEC_ANTLP_2,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,56
AEEC_ANTLP_3,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,56
AEEC_ELK_1,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,202
AEEC_ELK_2,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,202
AEEC_ELK_3,AEEC,ANTELOPE ELK ENERGY CENTER,Thermal,202
AGUAYO_UNIT1,AGUAYO,AGUAYO WIND,Wind,194
AJAXWIND_UNIT1,AJAXWIND,AJAX WIND,Wind,226
AJAXWIND_UNIT2,AJAXWIND,AJAX WIND,Wind,141
ALGODON_UNIT1,ALGODON,EL ALGODON ALTO WIND FARM,Wind,172
ALGODON_UNIT2,ALGODON,EL ALGODON ALTO WIND FARM,Wind,29
ALP_BESS_BESS1,ALP_BESS,AL PASTOR BESS,Battery,103
ALVIN_UNIT1,ALVIN,ALVIN TNP,Battery,10
AMADEUS1_UNIT1,AMADEUS1,AMADEUS WIND 1,Wind,37
AMADEUS1_UNIT2,AMADEUS1,AMADEUS WIND 1,Wind,36
AMADEUS2_UNIT3,AMADEUS2,AMADEUS WIND 2,Wind,178
AMISTAD_AMISTAG1,AMISTAD,AMISTAD PLANT,Hydro,35
AMISTAD_AMISTAG2,AMISTAD,AMISTAD PLANT,Hydro,35
ANACACHO_ANA,ANACACHO,ANACACHO,Wind,100
ANCHOR_BESS1,ANCHOR,ANCHOR WIND AND BESS,Battery,35
ANCHOR_BESS2,ANCHOR,ANCHOR WIND AND BESS,Battery,36
ANCHOR_WIND1,ANCHOR,ANCHOR WIND AND BESS,Wind,16
ANCHOR_WIND2,ANCHOR,ANCHOR WIND AND BESS,Wind,99
ANCHOR_WIND3,ANCHOR,ANCHOR WIND AND BESS,Wind,90
ANCHOR_WIND4,ANCHOR,ANCHOR WIND AND BESS,Wind,39
ANCHOR_WIND5,ANCHOR,ANCHOR WIND AND BESS,Wind,19
ANDMDSLR_BESS1,ANDMDSLR,ANDROMEDA SOLAR,Battery,82
ANDMDSLR_BESS2,ANDMDSLR,ANDROMEDA SOLAR,Battery,78
ANDMDSLR_UNIT1,ANDMDSLR,ANDROMEDA SOLAR,Solar,159
ANDMDSLR_UNIT2,ANDMDSLR,ANDROMEDA SOLAR,Solar,162
ANEM_ESS_BESS1,ANEM_ESS,ANEMOI ENERGY STORAGE,Battery,201
ANG_SLR_BESS1,ANG_SLR,ANGELO SOLAR,Battery,103
ANG_SLR_UNIT1,ANG_SLR,ANGELO SOLAR,Solar,195
ANGLETON_UNIT1,ANGLETON,ANGLETON TNP,Battery,10
ANOL_ESS_BES1,ANOL_ESS,ANOLE BESS,Battery,247
ANSON1_UNIT1,ANSON1,ANSON SOLAR 1,Solar,101
ANSON1_UNIT2,ANSON1,ANSON SOLAR 1,Solar,101
