SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
06/25/2026 00:40:18,N,7RNCHSLR_ALL,       27.04
06/25/2026 00:40:18,N,A4_DGR1_RN,       27.10
06/25/2026 00:40:18,N,A4_DGR2_RN,       27.10
06/25/2026 00:40:18,N,ABINDUST_RN,       27.64
06/25/2026 00:40:18,N,ADL_RN,       27.16
06/25/2026 00:40:18,N,AEEC,       27.99
06/25/2026 00:40:18,N,AE_RN,       27.09
06/25/2026 00:40:18,N,AGUAYO_UNIT1,       27.22
06/25/2026 00:40:18,N,AJAXWIND_RN,       27.72
06/25/2026 00:40:18,N,ALAMO_ST_RN,       31.96
06/25/2026 00:40:18,N,ALGOD_ALL_RN,       26.05
06/25/2026 00:40:18,N,ALP_BESS_RN,       28.75
06/25/2026 00:40:18,N,ALVIN_RN,       27.12
06/25/2026 00:40:18,N,AMADEUS_ALL,       27.86
06/25/2026 00:40:18,N,AMAD_ESS_RN,       27.46
06/25/2026 00:40:18,N,AMISTAD_ALL,       27.06
06/25/2026 00:40:18,N,AMOCOOIL_CC1,       27.13
06/25/2026 00:40:18,N,AMOCOOIL_CC2,       27.13
06/25/2026 00:40:18,N,AMOCO_PUN1,       27.13
06/25/2026 00:40:18,N,AMOCO_PUN2,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_1,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_2,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_5,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_G1,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_G2,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_G3,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_S1,       27.13
06/25/2026 00:40:18,N,AMO_AMOCO_S2,       27.13
06/25/2026 00:40:18,N,ANACACHO_ANA,       28.71
06/25/2026 00:40:18,N,ANCHOR_ALL,       27.62
06/25/2026 00:40:18,N,ANDMDSLR_ALL,       27.90
06/25/2026 00:40:18,N,ANEM_ESS_RN,       24.27
06/25/2026 00:40:18,N,ANG_ALL,       26.74
06/25/2026 00:40:18,N,ANOL_ESS_RN,       27.48
06/25/2026 00:40:18,N,ANSON1_ALL,       27.85
06/25/2026 00:40:18,N,ANTL_ESS_ES1,       23.95
06/25/2026 00:40:18,N,APPALOSA_ALL,      -38.25
06/25/2026 00:40:18,N,APPLE_ESR_RN,       29.95
06/25/2026 00:40:18,N,AQLA_WND_RN,       27.48
06/25/2026 00:40:18,N,AQUI_ALL,       27.48
06/25/2026 00:40:18,N,ARAGORN_RN,       30.60
06/25/2026 00:40:18,N,ARY_BESS_RN,       24.88
06/25/2026 00:40:18,N,ASCK_SLR_RN,       27.48
06/25/2026 00:40:18,N,ASTRA_RN,       27.89
06/25/2026 00:40:18,N,ATK_ATKINSG7,       27.27
06/25/2026 00:40:18,N,AURO_SLR_RN,       27.29
06/25/2026 00:40:18,N,AUSTPL_ALL,       27.12
06/25/2026 00:40:18,N,AVIAT_ALL,       27.38
06/25/2026 00:40:18,N,AVIL_ESS_RN,       31.87
06/25/2026 00:40:18,N,AZSP_SLR_RN,       27.44
