settlement_point,lat,lon
A4_DGR1_RN,29.356924,-98.601522
A4_DGR2_RN,29.35701,-98.601678
ALAMO_ST_RN,30.902,-102.8732
BIRD_ESR1,28.1579,-97.8621
BRPANGLE_RN,29.16801,-95.445062
BRP_DIKN_RN,29.461255,-95.056987
CAMWIND_RN,26.195278,-97.466111
CANYONWD_ALL,32.631073,-101.008494
CATARINA_B1,28.34705,-99.673703
CLT_RN,29.646811,-95.450539
FTWIND_UNIT1,31.684511,-98.603358
HARLIN_1_RN,26.206111,-97.70842
HDNLAKES_RN,29.491904,-95.0332
HRBESS_BESS,31.031247,-103.46256
KARAKAW1_1,28.170179,-97.817507
KARAKAW2_1,28.170179,-97.817507
MESQUITE_RN,26.109001,-97.82436
MESQUITE_RN2,26.109001,-97.82436
MILTON_RN,29.05732,-97.7875
NUECES_B_CC1,27.819412,-97.419203
OXY_OXY_CCG1,27.8133,-97.58739
OXY_PUN1,27.8133,-97.58739
OXY_PUN2,27.8133,-97.58739
PHOENIX_RN,33.500378,-96.146489
RIOG_ESR2_RN,26.408729,-98.93743
RIOG_ESR_RN,26.408729,-98.93743
RN_OCI_ALAMO,29.271667,-98.444722
THW_1_CCU,29.9417,-95.5306
THW_2_CCU,29.9417,-95.5306
UCC_UCC_C_2,29.378786,-94.947247
WLTC_ESR_RN,27.796921,-97.487069
WOODWRD1_RN,30.9514,-102.414067
WOODWRD2_RN,30.9514,-102.414067
AEEC,33.865,-101.843333
ATK_ATKINSG7,30.64741,-96.372316
BRHEIGHT_RN,29.389595,-94.949867
BRPMAGNO_RN,29.488335,-95.133947
B_DAVIS_CC1,27.6064,-97.3117
CALAVER_JTD1,29.309722,-98.3203
CALAVER_JTD2,29.309722,-98.3203
CARBN_BSP_1,32.28109,-101.408964
DC2SES_ALL,32.403056,-97.700556
DESN_ESS_RN,29.886901,-95.021244
EBELLS_UNIT1,31.029,-96.9348
ELM_ST_RN,31.4359,-103.4979
ELM_ST_RN2,31.427548,-103.499524
FERGCC_CC1,30.558,-98.3721
FERGCC_GT1_1,30.558,-98.3721
FERGCC_GT2_3,30.558,-98.3721
FERGCC_ST1_5,30.558,-98.3721
HELIOS_RN,29.216667,-99.716111
MGSES_CT123,32.3358,-100.9156
MGSES_CT456,32.3358,-100.9156
N_AL_BESS_RN,26.230677,-98.11404
N_MRD_ESR_RN,26.230501,-97.91256
RTLSNAKE_BT,31.568978,-103.226631
SC2SES_UNIT1,31.93985,-94.989834
SCSES_UNIT2,31.93985,-94.989834
SEVNF_ES_RN,27.4546,-99.4188
SMTH_ESS_RN,0.0,0.0
SOLARA_UNIT1,33.0801,-99.58072
VLSES_UNIT3,33.62758,-96.37013
ABINDUST_RN,32.465197,-99.81157
AMAD_ESS_RN,32.4793,-96.0321
AMOCOOIL_CC1,29.363582,-94.924033
AMOCOOIL_CC2,29.363582,-94.924033
AMOCO_PUN1,29.363582,-94.924033
AMOCO_PUN2,29.363582,-94.924033
AMO_AMOCO_5,29.363582,-94.924033
APPLE_ESR_RN,31.6757,-102.3638
ARY_BESS_RN,26.264118,-97.608343
AZURE_RN,32.998948,-99.5985
BAIRDWND_ALL,32.445499,-99.446761
BART_SLR_RN,32.9157,-95.8119
BEXAR_ES_RN,29.4241,-98.4936
BIGSAMWD_RN,30.923388,-101.869718
BLACKSPR_RN,32.933942,-98.146594
BLUEJAY_RN,30.7115,-96.0641
BLVN_RN,31.223785,-97.206357
BRP_LOOP_RN,28.816475,-97.07487
BRP_RN_UNIT1,29.617885,-98.73595
BTE_PUN1,29.7731,-94.9019
BTE_PUN2,29.7731,-94.9019
BUDA_RN,30.07559,-97.851255
BYNM_SLR_RN,31.783877,-97.518443
BYP_RN,29.4844,-95.6216
BYU_BYU_1,29.626364,-95.046569
BYU_BYU_12,29.626364,-95.046569
BYU_BYU_34,29.626364,-95.046569
BYU_CC1,29.626364,-95.046569
BYU_G4_RN,29.626364,-95.046569
BYU_PUN1,29.626364,-95.046569
BYU_PUN2,29.626364,-95.046569
BYU_PUN3,29.626364,-95.046569
BYU_PUN4,29.626364,-95.046569
CAL_CALGT1,29.726442,-95.175854
CAL_CALSTG1,29.726442,-95.175854
CAL_CC1,29.726442,-95.175854
CAL_PUN1,29.725119,-95.175758
CAL_PUN2,29.725119,-95.175758
CARA_ESS_RN,26.248591,-98.238742
CAST_ESS_RN,29.150016,-95.650798
CDRVLE_U1_RN,29.40107,-100.91566
CEDRVALE_RN,31.514106,-103.4524
CFLAT_ES_RN,26.205799,-97.663635
CHAR_SLR_RN,28.4668,-97.1053
CHE_PUN1,29.745671,-95.230947
CHE_PUN2,29.745671,-95.230947
CHEDPW_GT2,29.7189,-95.2319
CHIL_SLR,31.006,-97.262
CMPD_SLR_RN,32.139206,-97.059551
CNTYRDS_RN,31.399936,-103.492542
COL_COLETOG1,28.7128,-97.2144
COTULLA_RN,28.46077,-99.251137
COYANOSA_RN,31.260451,-102.94154
COYOTSPR_AGR,31.39471,-103.6303
COYOTSPR_RN,31.39471,-103.6303
CST1_SLR_RN,32.7812,-100.0065
CST2_SLR_RN,32.7949,-99.9929
CTW_RN,29.259805,-95.270415
DA_BESS,29.291607,-95.729112
